Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 01:57:28.3N,104.16%,138.7MiB,1GiB,
2025-07-06 01:57:30.3N,103.94%,150.9MiB,1GiB,
2025-07-06 01:57:32.3N,101.57%,157.7MiB,1GiB,
2025-07-06 01:57:34.3N,99.19%,176.3MiB,1GiB,
2025-07-06 01:57:36.3N,102.65%,173.2MiB,1GiB,
2025-07-06 01:57:38.3N,99.25%,191.8MiB,1GiB,
2025-07-06 01:57:40.3N,99.52%,192.7MiB,1GiB,
2025-07-06 01:57:42.3N,99.88%,196MiB,1GiB,
2025-07-06 01:57:44.3N,99.46%,195.5MiB,1GiB,
2025-07-06 01:57:46.3N,99.49%,192.1MiB,1GiB,
2025-07-06 01:57:48.3N,99.37%,194.2MiB,1GiB,
2025-07-06 01:57:50.3N,99.54%,198.3MiB,1GiB,
2025-07-06 01:57:52.3N,98.80%,197.9MiB,1GiB,
2025-07-06 01:57:54.3N,99.48%,194.1MiB,1GiB,
2025-07-06 01:57:56.3N,99.01%,192.2MiB,1GiB,
2025-07-06 01:57:58.3N,99.13%,197.6MiB,1GiB,
2025-07-06 01:58:00.3N,99.93%,201.1MiB,1GiB,
2025-07-06 01:58:02.3N,99.64%,186.7MiB,1GiB,
2025-07-06 01:58:04.3N,99.18%,185.5MiB,1GiB,
2025-07-06 01:58:06.3N,100.00%,181.4MiB,1GiB,
2025-07-06 01:58:08.3N,99.20%,183.2MiB,1GiB,
2025-07-06 01:58:10.3N,99.90%,179.3MiB,1GiB,
2025-07-06 01:58:12.3N,99.37%,185.6MiB,1GiB,
2025-07-06 01:58:14.3N,99.75%,181.5MiB,1GiB,
2025-07-06 01:58:16.3N,98.47%,187.2MiB,1GiB,
2025-07-06 01:58:18.3N,99.81%,185.2MiB,1GiB,
2025-07-06 01:58:20.3N,100.16%,181.4MiB,1GiB,
2025-07-06 01:58:22.3N,100.08%,183.2MiB,1GiB,
2025-07-06 01:58:24.3N,99.71%,183.1MiB,1GiB,
2025-07-06 01:58:26.3N,100.29%,183.1MiB,1GiB,
2025-07-06 01:58:28.3N,100.30%,183MiB,1GiB,
2025-07-06 01:58:30.3N,98.50%,181.1MiB,1GiB,
2025-07-06 01:58:32.3N,98.82%,180.9MiB,1GiB,
2025-07-06 01:58:34.3N,99.99%,183.1MiB,1GiB,
2025-07-06 01:58:36.3N,99.47%,183.1MiB,1GiB,
2025-07-06 01:58:38.3N,98.80%,183.2MiB,1GiB,
2025-07-06 01:58:40.3N,99.56%,183MiB,1GiB,
2025-07-06 01:58:42.3N,100.06%,183.2MiB,1GiB,
2025-07-06 01:58:44.3N,99.46%,183.5MiB,1GiB,
2025-07-06 01:58:46.3N,98.73%,183.8MiB,1GiB,
2025-07-06 01:58:48.3N,99.84%,180.9MiB,1GiB,
2025-07-06 01:58:50.3N,99.96%,187.7MiB,1GiB,
2025-07-06 01:58:52.3N,100.16%,184.6MiB,1GiB,
2025-07-06 01:58:54.3N,99.91%,184.5MiB,1GiB,
2025-07-06 01:58:56.3N,99.89%,186.2MiB,1GiB,
2025-07-06 01:58:58.3N,99.30%,182.1MiB,1GiB,
2025-07-06 01:59:00.3N,99.58%,183.9MiB,1GiB,
2025-07-06 01:59:02.3N,99.77%,184.1MiB,1GiB,
2025-07-06 01:59:04.3N,99.90%,184.2MiB,1GiB,
2025-07-06 01:59:06.3N,99.29%,184.1MiB,1GiB,
2025-07-06 01:59:08.3N,99.81%,185.9MiB,1GiB,
2025-07-06 01:59:10.3N,100.23%,186.5MiB,1GiB,
2025-07-06 01:59:12.3N,99.72%,186.1MiB,1GiB,
2025-07-06 01:59:14.3N,98.96%,184.9MiB,1GiB,
2025-07-06 01:59:16.3N,99.94%,185.1MiB,1GiB,
2025-07-06 01:59:18.3N,100.00%,191.8MiB,1GiB,
2025-07-06 01:59:20.3N,99.63%,190.4MiB,1GiB,
2025-07-06 01:59:22.3N,99.84%,190.6MiB,1GiB,
2025-07-06 01:59:24.3N,99.65%,190.9MiB,1GiB,
2025-07-06 01:59:26.3N,100.11%,192.4MiB,1GiB,
2025-07-06 01:59:28.3N,99.73%,192.6MiB,1GiB,
2025-07-06 01:59:30.3N,99.72%,196.6MiB,1GiB,
2025-07-06 01:59:32.3N,99.16%,190.5MiB,1GiB,
2025-07-06 01:59:34.3N,99.69%,196.5MiB,1GiB,
2025-07-06 01:59:36.3N,98.71%,194.6MiB,1GiB,
2025-07-06 01:59:39.3N,99.97%,192.5MiB,1GiB,
2025-07-06 01:59:41.3N,99.91%,198.3MiB,1GiB,
2025-07-06 01:59:43.3N,99.86%,196.1MiB,1GiB,
2025-07-06 01:59:45.3N,99.79%,196.5MiB,1GiB,
2025-07-06 01:59:47.3N,100.12%,196.6MiB,1GiB,
2025-07-06 01:59:49.3N,99.56%,196.7MiB,1GiB,
2025-07-06 01:59:51.3N,100.10%,196.6MiB,1GiB,
2025-07-06 01:59:53.3N,100.08%,198.6MiB,1GiB,
2025-07-06 01:59:55.3N,99.96%,198.6MiB,1GiB,
2025-07-06 01:59:57.3N,99.82%,198.5MiB,1GiB,
