Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 02:29:55.3N,106.54%,112.3MiB,1GiB,
2025-07-06 02:29:56.3N,100.48%,155MiB,1GiB,
2025-07-06 02:29:58.3N,100.32%,169.1MiB,1GiB,
2025-07-06 02:30:00.3N,100.93%,176.2MiB,1GiB,
2025-07-06 02:30:02.3N,100.81%,182.4MiB,1GiB,
2025-07-06 02:30:04.3N,99.64%,197.1MiB,1GiB,
2025-07-06 02:30:06.3N,99.81%,187.6MiB,1GiB,
2025-07-06 02:30:08.3N,99.90%,191.6MiB,1GiB,
2025-07-06 02:30:10.3N,99.51%,190.2MiB,1GiB,
2025-07-06 02:30:12.3N,99.60%,194.1MiB,1GiB,
2025-07-06 02:30:14.3N,99.19%,194.5MiB,1GiB,
2025-07-06 02:30:16.3N,99.18%,192.2MiB,1GiB,
2025-07-06 02:30:18.3N,99.96%,194.9MiB,1GiB,
2025-07-06 02:30:20.3N,99.20%,194.4MiB,1GiB,
2025-07-06 02:30:22.3N,99.39%,188.5MiB,1GiB,
2025-07-06 02:30:24.3N,99.79%,197.6MiB,1GiB,
2025-07-06 02:30:26.3N,99.91%,183.7MiB,1GiB,
2025-07-06 02:30:28.3N,99.07%,187.9MiB,1GiB,
2025-07-06 02:30:31.3N,98.63%,183.9MiB,1GiB,
2025-07-06 02:30:33.3N,99.29%,184MiB,1GiB,
2025-07-06 02:30:35.3N,99.53%,184MiB,1GiB,
2025-07-06 02:30:37.3N,99.76%,181.8MiB,1GiB,
2025-07-06 02:30:39.3N,98.56%,184.1MiB,1GiB,
2025-07-06 02:30:41.3N,100.13%,184MiB,1GiB,
2025-07-06 02:30:43.3N,98.59%,184MiB,1GiB,
2025-07-06 02:30:45.3N,100.15%,184MiB,1GiB,
2025-07-06 02:30:47.3N,99.02%,181.8MiB,1GiB,
2025-07-06 02:30:49.3N,99.37%,183.8MiB,1GiB,
2025-07-06 02:30:51.3N,100.31%,183.8MiB,1GiB,
2025-07-06 02:30:53.3N,99.29%,182.4MiB,1GiB,
2025-07-06 02:30:55.3N,99.34%,188.4MiB,1GiB,
2025-07-06 02:30:57.3N,100.06%,186.2MiB,1GiB,
2025-07-06 02:30:59.3N,99.78%,185.9MiB,1GiB,
2025-07-06 02:31:01.3N,100.13%,186MiB,1GiB,
2025-07-06 02:31:03.3N,99.71%,185.9MiB,1GiB,
2025-07-06 02:31:05.3N,100.21%,187.8MiB,1GiB,
2025-07-06 02:31:07.3N,99.82%,183.6MiB,1GiB,
2025-07-06 02:31:09.3N,99.76%,185.9MiB,1GiB,
2025-07-06 02:31:11.3N,99.49%,183.8MiB,1GiB,
2025-07-06 02:31:13.3N,99.69%,182MiB,1GiB,
2025-07-06 02:31:15.3N,100.21%,180.8MiB,1GiB,
2025-07-06 02:31:17.3N,100.17%,182.8MiB,1GiB,
2025-07-06 02:31:19.3N,98.96%,185MiB,1GiB,
2025-07-06 02:31:21.3N,99.23%,182.8MiB,1GiB,
2025-07-06 02:31:23.3N,99.37%,182.1MiB,1GiB,
2025-07-06 02:31:25.3N,99.96%,186MiB,1GiB,
2025-07-06 02:31:27.3N,99.57%,184MiB,1GiB,
2025-07-06 02:31:29.3N,99.24%,186MiB,1GiB,
