Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-05 21:35:08.3N,108.74%,108.4MiB,1GiB,
2025-07-05 21:35:10.3N,99.78%,146.5MiB,1GiB,
2025-07-05 21:35:12.3N,99.20%,160.7MiB,1GiB,
2025-07-05 21:35:14.3N,102.43%,163.1MiB,1GiB,
2025-07-05 21:35:16.3N,100.28%,173.7MiB,1GiB,
2025-07-05 21:35:18.3N,93.02%,200.4MiB,1GiB,
2025-07-05 21:35:20.3N,98.37%,193.3MiB,1GiB,
2025-07-05 21:35:22.3N,99.62%,190.9MiB,1GiB,
2025-07-05 21:35:24.3N,99.58%,195.5MiB,1GiB,
2025-07-05 21:35:26.3N,98.19%,188.9MiB,1GiB,
2025-07-05 21:35:28.3N,99.09%,195MiB,1GiB,
2025-07-05 21:35:30.3N,99.50%,200.7MiB,1GiB,
2025-07-05 21:35:32.3N,99.04%,200.2MiB,1GiB,
2025-07-05 21:35:34.3N,99.79%,197.1MiB,1GiB,
2025-07-05 21:35:36.3N,99.09%,197.2MiB,1GiB,
2025-07-05 21:35:38.3N,98.45%,197.6MiB,1GiB,
2025-07-05 21:35:40.3N,98.93%,195.5MiB,1GiB,
2025-07-05 21:35:42.3N,99.19%,181.4MiB,1GiB,
2025-07-05 21:35:44.3N,98.62%,181.2MiB,1GiB,
2025-07-05 21:35:46.3N,98.95%,181.3MiB,1GiB,
2025-07-05 21:35:48.3N,98.53%,181.3MiB,1GiB,
2025-07-05 21:35:50.3N,98.86%,181.2MiB,1GiB,
2025-07-05 21:35:52.3N,100.31%,183.7MiB,1GiB,
2025-07-05 21:35:54.3N,100.09%,181.5MiB,1GiB,
2025-07-05 21:35:56.3N,99.89%,180.8MiB,1GiB,
2025-07-05 21:35:58.3N,99.96%,184.7MiB,1GiB,
2025-07-05 21:36:00.3N,100.23%,186.7MiB,1GiB,
2025-07-05 21:36:02.3N,100.17%,185.1MiB,1GiB,
2025-07-05 21:36:04.3N,100.25%,180.9MiB,1GiB,
2025-07-05 21:36:06.3N,100.27%,180.8MiB,1GiB,
2025-07-05 21:36:08.3N,99.40%,180.2MiB,1GiB,
2025-07-05 21:36:10.3N,98.89%,182.6MiB,1GiB,
2025-07-05 21:36:12.3N,98.67%,180.8MiB,1GiB,
2025-07-05 21:36:14.3N,99.86%,179MiB,1GiB,
2025-07-05 21:36:16.3N,100.28%,179.2MiB,1GiB,
2025-07-05 21:36:18.3N,99.19%,185.4MiB,1GiB,
2025-07-05 21:36:20.3N,98.31%,185.3MiB,1GiB,
2025-07-05 21:36:22.3N,100.02%,185.2MiB,1GiB,
2025-07-05 21:36:24.3N,99.77%,187.2MiB,1GiB,
2025-07-05 21:36:26.3N,99.98%,185.1MiB,1GiB,
2025-07-05 21:36:28.3N,99.85%,185.7MiB,1GiB,
2025-07-05 21:36:30.3N,100.20%,185.6MiB,1GiB,
2025-07-05 21:36:32.3N,99.74%,185.7MiB,1GiB,
2025-07-05 21:36:34.3N,100.19%,183.8MiB,1GiB,
2025-07-05 21:36:36.3N,100.10%,185.7MiB,1GiB,
2025-07-05 21:36:38.3N,99.24%,185.5MiB,1GiB,
2025-07-05 21:36:40.3N,99.96%,183.9MiB,1GiB,
2025-07-05 21:36:42.3N,99.80%,186.6MiB,1GiB,
2025-07-05 21:36:44.3N,100.39%,186.4MiB,1GiB,
2025-07-05 21:36:46.3N,100.32%,184.5MiB,1GiB,
2025-07-05 21:36:48.3N,99.85%,187.4MiB,1GiB,
2025-07-05 21:36:50.3N,98.27%,187.3MiB,1GiB,
2025-07-05 21:36:52.3N,99.14%,187.3MiB,1GiB,
2025-07-05 21:36:54.3N,97.90%,189.4MiB,1GiB,
2025-07-05 21:36:56.3N,100.00%,193.1MiB,1GiB,
2025-07-05 21:36:58.3N,100.29%,187.2MiB,1GiB,
2025-07-05 21:37:00.3N,99.45%,187.4MiB,1GiB,
2025-07-05 21:37:02.3N,98.42%,191.6MiB,1GiB,
2025-07-05 21:37:04.3N,100.32%,191.6MiB,1GiB,
2025-07-05 21:37:06.3N,99.44%,189.5MiB,1GiB,
2025-07-05 21:37:08.3N,100.10%,189.4MiB,1GiB,
2025-07-05 21:37:10.3N,98.84%,191.3MiB,1GiB,
