Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 01:41:29.3N,99.75%,125.1MiB,1GiB,
2025-07-06 01:41:31.3N,100.12%,147.5MiB,1GiB,
2025-07-06 01:41:33.3N,101.24%,164.4MiB,1GiB,
2025-07-06 01:41:35.3N,102.29%,170.8MiB,1GiB,
2025-07-06 01:41:37.3N,99.14%,175.8MiB,1GiB,
2025-07-06 01:41:39.3N,99.48%,191.4MiB,1GiB,
2025-07-06 01:41:41.3N,99.17%,191.8MiB,1GiB,
2025-07-06 01:41:43.3N,99.83%,196.9MiB,1GiB,
2025-07-06 01:41:45.3N,99.81%,190MiB,1GiB,
2025-07-06 01:41:47.3N,98.92%,194MiB,1GiB,
2025-07-06 01:41:49.3N,99.56%,194.3MiB,1GiB,
2025-07-06 01:41:51.3N,97.66%,196.9MiB,1GiB,
2025-07-06 01:41:53.3N,99.13%,192.5MiB,1GiB,
2025-07-06 01:41:55.3N,100.11%,190.1MiB,1GiB,
2025-07-06 01:41:57.3N,99.13%,196.1MiB,1GiB,
2025-07-06 01:41:59.3N,99.72%,194.1MiB,1GiB,
2025-07-06 01:42:01.3N,98.59%,187.5MiB,1GiB,
2025-07-06 01:42:03.3N,99.91%,182.9MiB,1GiB,
2025-07-06 01:42:05.3N,100.08%,185.2MiB,1GiB,
2025-07-06 01:42:07.3N,99.88%,183.3MiB,1GiB,
2025-07-06 01:42:09.3N,98.65%,181.1MiB,1GiB,
2025-07-06 01:42:11.3N,99.70%,183.1MiB,1GiB,
2025-07-06 01:42:13.3N,98.93%,182.9MiB,1GiB,
2025-07-06 01:42:15.3N,99.09%,181.1MiB,1GiB,
2025-07-06 01:42:17.3N,99.95%,185MiB,1GiB,
2025-07-06 01:42:19.3N,100.00%,185MiB,1GiB,
2025-07-06 01:42:21.3N,99.70%,182.9MiB,1GiB,
2025-07-06 01:42:23.3N,99.49%,181.1MiB,1GiB,
2025-07-06 01:42:25.3N,98.57%,185MiB,1GiB,
2025-07-06 01:42:27.3N,99.83%,183.4MiB,1GiB,
2025-07-06 01:42:29.3N,100.53%,183.1MiB,1GiB,
2025-07-06 01:42:31.3N,99.53%,181.1MiB,1GiB,
2025-07-06 01:42:33.3N,99.90%,181MiB,1GiB,
2025-07-06 01:42:35.3N,99.84%,181.9MiB,1GiB,
2025-07-06 01:42:37.3N,100.08%,179.8MiB,1GiB,
2025-07-06 01:42:39.3N,99.72%,183.3MiB,1GiB,
