Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-05 22:23:15.3N,102.43%,134.2MiB,1GiB,
2025-07-05 22:23:17.3N,101.00%,149.7MiB,1GiB,
2025-07-05 22:23:19.3N,101.25%,154.4MiB,1GiB,
2025-07-05 22:23:21.3N,102.80%,170MiB,1GiB,
2025-07-05 22:23:23.3N,102.74%,176.5MiB,1GiB,
2025-07-05 22:23:25.3N,100.01%,196.2MiB,1GiB,
2025-07-05 22:23:27.3N,99.34%,193.1MiB,1GiB,
2025-07-05 22:23:29.3N,100.11%,196.9MiB,1GiB,
2025-07-05 22:23:31.3N,99.21%,193MiB,1GiB,
2025-07-05 22:23:33.3N,99.03%,199.1MiB,1GiB,
2025-07-05 22:23:35.3N,99.57%,190.2MiB,1GiB,
2025-07-05 22:23:37.3N,99.48%,196.7MiB,1GiB,
2025-07-05 22:23:39.3N,99.37%,197.6MiB,1GiB,
2025-07-05 22:23:41.3N,100.15%,199.3MiB,1GiB,
2025-07-05 22:23:43.3N,99.47%,195MiB,1GiB,
2025-07-05 22:23:45.3N,98.96%,189MiB,1GiB,
2025-07-05 22:23:47.3N,99.96%,198.9MiB,1GiB,
2025-07-05 22:23:49.3N,99.15%,183.2MiB,1GiB,
2025-07-05 22:23:51.3N,99.44%,185.4MiB,1GiB,
2025-07-05 22:23:53.3N,99.84%,183.3MiB,1GiB,
2025-07-05 22:23:55.3N,99.55%,185.8MiB,1GiB,
2025-07-05 22:23:57.3N,99.12%,185.4MiB,1GiB,
2025-07-05 22:23:59.3N,100.13%,183MiB,1GiB,
2025-07-05 22:24:01.3N,100.05%,182.8MiB,1GiB,
2025-07-05 22:24:03.3N,99.76%,184MiB,1GiB,
2025-07-05 22:24:05.3N,99.86%,184.6MiB,1GiB,
2025-07-05 22:24:07.3N,99.77%,190.4MiB,1GiB,
2025-07-05 22:24:09.3N,98.89%,186.3MiB,1GiB,
2025-07-05 22:24:11.3N,99.37%,184.3MiB,1GiB,
2025-07-05 22:24:13.3N,98.86%,182.4MiB,1GiB,
2025-07-05 22:24:15.3N,100.33%,182.5MiB,1GiB,
2025-07-05 22:24:17.3N,99.86%,182.7MiB,1GiB,
2025-07-05 22:24:20.3N,99.76%,181.1MiB,1GiB,
2025-07-05 22:24:22.3N,99.92%,183MiB,1GiB,
2025-07-05 22:24:24.3N,100.17%,182.2MiB,1GiB,
2025-07-05 22:24:26.3N,99.78%,183.8MiB,1GiB,
2025-07-05 22:24:28.3N,100.33%,189.7MiB,1GiB,
2025-07-05 22:24:30.3N,99.85%,183.9MiB,1GiB,
2025-07-05 22:24:32.3N,99.96%,185.5MiB,1GiB,
2025-07-05 22:24:34.3N,98.99%,187.3MiB,1GiB,
2025-07-05 22:24:36.3N,98.90%,187.2MiB,1GiB,
2025-07-05 22:24:38.3N,100.09%,184.9MiB,1GiB,
2025-07-05 22:24:40.3N,99.79%,187.3MiB,1GiB,
2025-07-05 22:24:42.3N,99.95%,185.2MiB,1GiB,
2025-07-05 22:24:44.3N,98.54%,185MiB,1GiB,
2025-07-05 22:24:46.3N,99.96%,185.6MiB,1GiB,
2025-07-05 22:24:48.3N,99.57%,185.5MiB,1GiB,
2025-07-05 22:24:50.3N,99.10%,187.9MiB,1GiB,
2025-07-05 22:24:52.3N,98.85%,190.6MiB,1GiB,
2025-07-05 22:24:54.3N,99.01%,184.8MiB,1GiB,
2025-07-05 22:24:56.3N,100.25%,187.1MiB,1GiB,
2025-07-05 22:24:58.3N,99.86%,189MiB,1GiB,
2025-07-05 22:25:00.3N,100.07%,192.8MiB,1GiB,
2025-07-05 22:25:02.3N,100.25%,188.8MiB,1GiB,
2025-07-05 22:25:04.3N,100.25%,190.9MiB,1GiB,
2025-07-05 22:25:06.3N,100.07%,191MiB,1GiB,
2025-07-05 22:25:08.3N,100.01%,188.9MiB,1GiB,
2025-07-05 22:25:10.3N,100.23%,190.9MiB,1GiB,
2025-07-05 22:25:12.3N,100.10%,191MiB,1GiB,
2025-07-05 22:25:14.3N,100.30%,191MiB,1GiB,
2025-07-05 22:25:16.3N,100.29%,192.9MiB,1GiB,
2025-07-05 22:25:18.3N,99.90%,191.1MiB,1GiB,
2025-07-05 22:25:20.3N,99.93%,194.8MiB,1GiB,
2025-07-05 22:25:22.3N,99.81%,193.1MiB,1GiB,
2025-07-05 22:25:24.3N,100.02%,193.4MiB,1GiB,
2025-07-05 22:25:26.3N,100.30%,193.5MiB,1GiB,
2025-07-05 22:25:28.3N,100.09%,193.7MiB,1GiB,
2025-07-05 22:25:30.3N,100.04%,193.3MiB,1GiB,
2025-07-05 22:25:32.3N,100.24%,193.1MiB,1GiB,
2025-07-05 22:25:34.3N,100.03%,193.2MiB,1GiB,
2025-07-05 22:25:36.3N,99.51%,193.1MiB,1GiB,
2025-07-05 22:25:38.3N,100.49%,197.2MiB,1GiB,
2025-07-05 22:25:40.3N,99.93%,195MiB,1GiB,
2025-07-05 22:25:42.3N,100.19%,199.1MiB,1GiB,
2025-07-05 22:25:44.3N,99.98%,196.9MiB,1GiB,
2025-07-05 22:25:46.3N,99.96%,197.1MiB,1GiB,
2025-07-05 22:25:48.3N,99.37%,199MiB,1GiB,
2025-07-05 22:25:50.3N,100.29%,198.9MiB,1GiB,
2025-07-05 22:25:52.3N,99.98%,194.9MiB,1GiB,
2025-07-05 22:25:54.3N,99.59%,195.1MiB,1GiB,
2025-07-05 22:25:56.3N,100.02%,199.1MiB,1GiB,
2025-07-05 22:25:58.3N,98.98%,196.9MiB,1GiB,
2025-07-05 22:26:00.3N,99.79%,197.1MiB,1GiB,
2025-07-05 22:26:02.3N,99.44%,198.9MiB,1GiB,
2025-07-05 22:26:04.3N,99.75%,196.8MiB,1GiB,
2025-07-05 22:26:06.3N,100.26%,196.6MiB,1GiB,
2025-07-05 22:26:08.3N,100.30%,198.6MiB,1GiB,
2025-07-05 22:26:10.3N,100.00%,196.5MiB,1GiB,
2025-07-05 22:26:12.3N,99.95%,198.5MiB,1GiB,
2025-07-05 22:26:14.3N,99.55%,196.4MiB,1GiB,
2025-07-05 22:26:16.3N,99.24%,198.6MiB,1GiB,
2025-07-05 22:26:18.3N,99.14%,197.1MiB,1GiB,
2025-07-05 22:26:20.3N,99.99%,199.3MiB,1GiB,
2025-07-05 22:26:22.3N,99.57%,198MiB,1GiB,
2025-07-05 22:26:24.3N,99.67%,197.9MiB,1GiB,
2025-07-05 22:26:26.3N,99.20%,213.9MiB,1GiB,
2025-07-05 22:26:28.3N,99.91%,198.7MiB,1GiB,
2025-07-05 22:26:30.3N,99.76%,200.7MiB,1GiB,
2025-07-05 22:26:32.3N,98.63%,202.9MiB,1GiB,
2025-07-05 22:26:34.3N,100.25%,202.7MiB,1GiB,
2025-07-05 22:26:36.3N,99.00%,204.7MiB,1GiB,
2025-07-05 22:26:38.3N,99.16%,206.9MiB,1GiB,
2025-07-05 22:26:40.3N,99.98%,204.7MiB,1GiB,
2025-07-05 22:26:42.3N,99.61%,204.4MiB,1GiB,
2025-07-05 22:26:44.3N,99.23%,206.5MiB,1GiB,
2025-07-05 22:26:46.3N,98.81%,208.5MiB,1GiB,
2025-07-05 22:26:48.3N,99.31%,208.6MiB,1GiB,
2025-07-05 22:26:50.3N,99.04%,204.6MiB,1GiB,
2025-07-05 22:26:52.3N,99.97%,206.6MiB,1GiB,
2025-07-05 22:26:54.3N,99.90%,206.4MiB,1GiB,
2025-07-05 22:26:56.3N,100.37%,203.5MiB,1GiB,
2025-07-05 22:26:58.3N,99.13%,205.5MiB,1GiB,
2025-07-05 22:27:00.3N,98.67%,207.4MiB,1GiB,
2025-07-05 22:27:02.3N,99.21%,205.4MiB,1GiB,
2025-07-05 22:27:04.3N,99.62%,207.4MiB,1GiB,
2025-07-05 22:27:06.3N,99.50%,213.4MiB,1GiB,
2025-07-05 22:27:08.3N,99.35%,205.4MiB,1GiB,
2025-07-05 22:27:10.3N,100.00%,209.6MiB,1GiB,
2025-07-05 22:27:12.3N,99.90%,207.5MiB,1GiB,
2025-07-05 22:27:14.3N,100.25%,209MiB,1GiB,
2025-07-05 22:27:16.3N,99.81%,209.1MiB,1GiB,
2025-07-05 22:27:18.3N,99.57%,206.9MiB,1GiB,
2025-07-05 22:27:20.3N,99.96%,208.9MiB,1GiB,
2025-07-05 22:27:22.3N,99.96%,206.9MiB,1GiB,
2025-07-05 22:27:24.3N,100.39%,207.1MiB,1GiB,
2025-07-05 22:27:26.3N,99.75%,211MiB,1GiB,
2025-07-05 22:27:28.3N,99.89%,205.4MiB,1GiB,
2025-07-05 22:27:30.3N,100.37%,207.4MiB,1GiB,
2025-07-05 22:27:32.3N,99.75%,209.4MiB,1GiB,
2025-07-05 22:27:34.3N,100.46%,210.2MiB,1GiB,
2025-07-05 22:27:36.3N,99.54%,209.2MiB,1GiB,
2025-07-05 22:27:38.3N,99.79%,209.4MiB,1GiB,
2025-07-05 22:27:40.3N,100.22%,202.2MiB,1GiB,
2025-07-05 22:27:42.3N,100.20%,204.7MiB,1GiB,
2025-07-05 22:27:44.3N,100.55%,208.2MiB,1GiB,
2025-07-05 22:27:46.3N,99.72%,204.7MiB,1GiB,
2025-07-05 22:27:48.3N,99.73%,206.5MiB,1GiB,
2025-07-05 22:27:50.3N,100.10%,208.2MiB,1GiB,
2025-07-05 22:27:52.3N,100.00%,212.5MiB,1GiB,
2025-07-05 22:27:54.3N,100.19%,210.6MiB,1GiB,
2025-07-05 22:27:56.3N,99.82%,210.3MiB,1GiB,
2025-07-05 22:27:58.3N,99.83%,212.2MiB,1GiB,
2025-07-05 22:28:00.3N,100.22%,212.3MiB,1GiB,
2025-07-05 22:28:02.3N,100.13%,208.3MiB,1GiB,
2025-07-05 22:28:04.3N,100.58%,212.7MiB,1GiB,
2025-07-05 22:28:06.3N,99.32%,210.4MiB,1GiB,
2025-07-05 22:28:08.3N,100.43%,210.7MiB,1GiB,
2025-07-05 22:28:10.3N,99.81%,212.4MiB,1GiB,
2025-07-05 22:28:12.3N,100.03%,215.4MiB,1GiB,
2025-07-05 22:28:14.3N,99.75%,215.2MiB,1GiB,
2025-07-05 22:28:16.3N,99.15%,215.4MiB,1GiB,
2025-07-05 22:28:18.3N,100.02%,215.1MiB,1GiB,
2025-07-05 22:28:20.3N,99.56%,215.3MiB,1GiB,
2025-07-05 22:28:22.3N,99.96%,213.3MiB,1GiB,
2025-07-05 22:28:24.3N,99.96%,213.3MiB,1GiB,
2025-07-05 22:28:26.3N,99.87%,213.3MiB,1GiB,
2025-07-05 22:28:28.3N,99.97%,213.2MiB,1GiB,
2025-07-05 22:28:30.3N,99.83%,213.3MiB,1GiB,
2025-07-05 22:28:32.3N,100.02%,215.3MiB,1GiB,
2025-07-05 22:28:34.3N,99.88%,217.1MiB,1GiB,
2025-07-05 22:28:36.3N,100.38%,215.3MiB,1GiB,
2025-07-05 22:28:38.3N,99.77%,213.1MiB,1GiB,
2025-07-05 22:28:40.3N,99.74%,215.2MiB,1GiB,
2025-07-05 22:28:42.3N,99.67%,223.4MiB,1GiB,
2025-07-05 22:28:44.3N,99.76%,223.3MiB,1GiB,
2025-07-05 22:28:46.3N,99.92%,223.5MiB,1GiB,
2025-07-05 22:28:48.3N,99.92%,223.5MiB,1GiB,
2025-07-05 22:28:50.3N,99.63%,225.5MiB,1GiB,
2025-07-05 22:28:52.3N,99.81%,226.2MiB,1GiB,
2025-07-05 22:28:54.3N,100.14%,226.2MiB,1GiB,
2025-07-05 22:28:56.3N,100.19%,222.1MiB,1GiB,
2025-07-05 22:28:58.3N,99.97%,224.5MiB,1GiB,
2025-07-05 22:29:00.3N,100.36%,226.3MiB,1GiB,
2025-07-05 22:29:02.3N,100.43%,222.3MiB,1GiB,
2025-07-05 22:29:04.3N,100.45%,224.2MiB,1GiB,
2025-07-05 22:29:06.3N,100.14%,224.1MiB,1GiB,
2025-07-05 22:29:08.3N,100.09%,224.3MiB,1GiB,
2025-07-05 22:29:10.3N,100.26%,224.3MiB,1GiB,
2025-07-05 22:29:12.3N,99.71%,222.8MiB,1GiB,
2025-07-05 22:29:14.3N,100.00%,222.5MiB,1GiB,
2025-07-05 22:29:16.3N,100.54%,222.6MiB,1GiB,
2025-07-05 22:29:18.3N,99.74%,248.6MiB,1GiB,
2025-07-05 22:29:20.3N,100.14%,228.5MiB,1GiB,
2025-07-05 22:29:22.3N,100.09%,228.5MiB,1GiB,
2025-07-05 22:29:24.3N,99.77%,230.5MiB,1GiB,
2025-07-05 22:29:26.3N,100.16%,230.3MiB,1GiB,
2025-07-05 22:29:28.3N,100.43%,230.3MiB,1GiB,
2025-07-05 22:29:30.3N,100.35%,230.4MiB,1GiB,
2025-07-05 22:29:32.3N,100.47%,232.3MiB,1GiB,
2025-07-05 22:29:34.3N,99.52%,234.2MiB,1GiB,
2025-07-05 22:29:37.3N,99.29%,236.4MiB,1GiB,
2025-07-05 22:29:39.3N,99.90%,234.3MiB,1GiB,
2025-07-05 22:29:41.3N,99.44%,230.6MiB,1GiB,
2025-07-05 22:29:43.3N,99.80%,228.6MiB,1GiB,
2025-07-05 22:29:45.3N,100.94%,230.1MiB,1GiB,
2025-07-05 22:29:47.3N,100.21%,232.4MiB,1GiB,
2025-07-05 22:29:49.3N,100.53%,232.6MiB,1GiB,
2025-07-05 22:29:51.3N,99.81%,228.4MiB,1GiB,
2025-07-05 22:29:53.3N,99.51%,230.7MiB,1GiB,
2025-07-05 22:29:55.3N,100.28%,232.4MiB,1GiB,
2025-07-05 22:29:57.3N,100.05%,232.4MiB,1GiB,
2025-07-05 22:29:59.3N,99.97%,236.6MiB,1GiB,
2025-07-05 22:30:01.3N,100.78%,230.3MiB,1GiB,
2025-07-05 22:30:03.3N,100.18%,230.6MiB,1GiB,
2025-07-05 22:30:05.3N,100.05%,232.1MiB,1GiB,
2025-07-05 22:30:07.3N,100.52%,232.4MiB,1GiB,
2025-07-05 22:30:09.3N,100.10%,236.4MiB,1GiB,
2025-07-05 22:30:11.3N,99.93%,232.4MiB,1GiB,
2025-07-05 22:30:13.3N,99.84%,232.3MiB,1GiB,
2025-07-05 22:30:15.3N,99.68%,234.2MiB,1GiB,
2025-07-05 22:30:17.3N,99.77%,236.2MiB,1GiB,
2025-07-05 22:30:19.3N,100.43%,238.1MiB,1GiB,
2025-07-05 22:30:21.3N,99.68%,232.1MiB,1GiB,
2025-07-05 22:30:23.3N,100.11%,234.3MiB,1GiB,
2025-07-05 22:30:25.3N,100.28%,236.1MiB,1GiB,
2025-07-05 22:30:27.3N,100.21%,238.1MiB,1GiB,
2025-07-05 22:30:29.3N,99.82%,240.1MiB,1GiB,
2025-07-05 22:30:31.3N,99.55%,235.9MiB,1GiB,
2025-07-05 22:30:33.3N,99.90%,237.9MiB,1GiB,
2025-07-05 22:30:35.3N,100.24%,240.2MiB,1GiB,
2025-07-05 22:30:37.3N,99.93%,240.2MiB,1GiB,
2025-07-05 22:30:39.3N,100.32%,242.3MiB,1GiB,
2025-07-05 22:30:41.3N,99.90%,238.3MiB,1GiB,
2025-07-05 22:30:43.3N,100.14%,238.2MiB,1GiB,
2025-07-05 22:30:45.3N,100.23%,239.9MiB,1GiB,
2025-07-05 22:30:47.3N,100.14%,242.1MiB,1GiB,
2025-07-05 22:30:49.3N,100.00%,242.7MiB,1GiB,
2025-07-05 22:30:51.3N,99.98%,240.2MiB,1GiB,
2025-07-05 22:30:53.3N,100.26%,240.2MiB,1GiB,
2025-07-05 22:30:55.3N,99.90%,243.9MiB,1GiB,
2025-07-05 22:30:57.3N,100.03%,244.2MiB,1GiB,
2025-07-05 22:30:59.3N,100.24%,247.1MiB,1GiB,
2025-07-05 22:31:01.3N,99.80%,238MiB,1GiB,
2025-07-05 22:31:03.3N,100.00%,240.1MiB,1GiB,
2025-07-05 22:31:05.3N,100.08%,241.9MiB,1GiB,
2025-07-05 22:31:07.3N,99.14%,246.2MiB,1GiB,
2025-07-05 22:31:09.3N,99.91%,240MiB,1GiB,
2025-07-05 22:31:11.3N,99.98%,243.9MiB,1GiB,
2025-07-05 22:31:13.3N,99.61%,244.1MiB,1GiB,
2025-07-05 22:31:15.3N,100.56%,248.1MiB,1GiB,
2025-07-05 22:31:17.3N,99.85%,246.4MiB,1GiB,
2025-07-05 22:31:19.3N,100.03%,242.9MiB,1GiB,
2025-07-05 22:31:21.3N,100.38%,242.9MiB,1GiB,
2025-07-05 22:31:23.3N,99.93%,244.6MiB,1GiB,
2025-07-05 22:31:25.3N,100.80%,246.6MiB,1GiB,
2025-07-05 22:31:27.3N,99.56%,252.4MiB,1GiB,
2025-07-05 22:31:29.3N,99.87%,246.1MiB,1GiB,
2025-07-05 22:31:31.3N,100.01%,246.3MiB,1GiB,
2025-07-05 22:31:33.3N,99.56%,250.3MiB,1GiB,
2025-07-05 22:31:35.3N,100.22%,251.9MiB,1GiB,
2025-07-05 22:31:37.3N,99.80%,252.1MiB,1GiB,
2025-07-05 22:31:39.3N,100.02%,253.1MiB,1GiB,
2025-07-05 22:31:41.3N,100.19%,250.1MiB,1GiB,
2025-07-05 22:31:43.3N,100.18%,252.1MiB,1GiB,
2025-07-05 22:31:45.3N,100.19%,251.9MiB,1GiB,
2025-07-05 22:31:47.3N,99.75%,254.1MiB,1GiB,
2025-07-05 22:31:49.3N,99.96%,256MiB,1GiB,
2025-07-05 22:31:51.3N,99.57%,260.2MiB,1GiB,
2025-07-05 22:31:53.3N,100.08%,260.1MiB,1GiB,
2025-07-05 22:31:55.3N,100.57%,247.9MiB,1GiB,
2025-07-05 22:31:57.3N,99.50%,249.9MiB,1GiB,
2025-07-05 22:31:59.3N,100.08%,251.9MiB,1GiB,
2025-07-05 22:32:01.3N,100.16%,253.9MiB,1GiB,
2025-07-05 22:32:03.3N,99.77%,256.2MiB,1GiB,
2025-07-05 22:32:05.3N,99.85%,259.9MiB,1GiB,
2025-07-05 22:32:07.3N,99.97%,261MiB,1GiB,
2025-07-05 22:32:09.3N,99.96%,256.3MiB,1GiB,
2025-07-05 22:32:11.3N,99.85%,258.1MiB,1GiB,
2025-07-05 22:32:13.3N,99.82%,260.1MiB,1GiB,
2025-07-05 22:32:15.3N,99.84%,259.7MiB,1GiB,
2025-07-05 22:32:17.3N,99.77%,261.6MiB,1GiB,
2025-07-05 22:32:19.3N,100.01%,266.1MiB,1GiB,
2025-07-05 22:32:21.3N,100.07%,263.9MiB,1GiB,
2025-07-05 22:32:23.3N,99.91%,258MiB,1GiB,
2025-07-05 22:32:25.3N,100.00%,257.6MiB,1GiB,
2025-07-05 22:32:27.3N,100.45%,258MiB,1GiB,
2025-07-05 22:32:29.3N,99.87%,262.1MiB,1GiB,
2025-07-05 22:32:31.3N,100.16%,262.1MiB,1GiB,
2025-07-05 22:32:33.3N,100.03%,263.7MiB,1GiB,
2025-07-05 22:32:35.3N,99.75%,259.8MiB,1GiB,
2025-07-05 22:32:37.3N,99.96%,259.9MiB,1GiB,
2025-07-05 22:32:39.3N,99.70%,263.9MiB,1GiB,
2025-07-05 22:32:41.3N,99.76%,264MiB,1GiB,
2025-07-05 22:32:43.3N,100.20%,266MiB,1GiB,
2025-07-05 22:32:45.3N,100.67%,267.7MiB,1GiB,
2025-07-05 22:32:47.3N,99.94%,270.9MiB,1GiB,
2025-07-05 22:32:49.3N,100.09%,262MiB,1GiB,
2025-07-05 22:32:51.3N,99.69%,263.9MiB,1GiB,
2025-07-05 22:32:53.3N,99.91%,267.9MiB,1GiB,
2025-07-05 22:32:55.3N,100.00%,267.9MiB,1GiB,
2025-07-05 22:32:57.3N,99.59%,270.2MiB,1GiB,
2025-07-05 22:32:59.3N,99.78%,268.4MiB,1GiB,
2025-07-05 22:33:01.3N,99.70%,263.8MiB,1GiB,
2025-07-05 22:33:03.3N,99.91%,265.7MiB,1GiB,
2025-07-05 22:33:05.3N,99.52%,267.9MiB,1GiB,
2025-07-05 22:33:07.3N,100.00%,271.7MiB,1GiB,
2025-07-05 22:33:09.3N,99.86%,271.8MiB,1GiB,
2025-07-05 22:33:11.3N,100.27%,271.8MiB,1GiB,
2025-07-05 22:33:13.3N,99.94%,265.8MiB,1GiB,
2025-07-05 22:33:15.3N,100.21%,267.9MiB,1GiB,
2025-07-05 22:33:17.3N,100.29%,271.7MiB,1GiB,
2025-07-05 22:33:19.3N,100.30%,273.8MiB,1GiB,
2025-07-05 22:33:21.3N,99.88%,275.9MiB,1GiB,
2025-07-05 22:33:23.3N,100.23%,276.9MiB,1GiB,
2025-07-05 22:33:25.3N,99.98%,263.4MiB,1GiB,
2025-07-05 22:33:27.3N,100.66%,267.8MiB,1GiB,
2025-07-05 22:33:29.3N,100.18%,269.9MiB,1GiB,
2025-07-05 22:33:31.3N,100.20%,271.8MiB,1GiB,
2025-07-05 22:33:33.3N,99.46%,271.7MiB,1GiB,
2025-07-05 22:33:35.3N,99.48%,265.5MiB,1GiB,
2025-07-05 22:33:37.3N,100.36%,267.7MiB,1GiB,
2025-07-05 22:33:39.3N,100.09%,273.7MiB,1GiB,
2025-07-05 22:33:41.3N,99.88%,275.7MiB,1GiB,
2025-07-05 22:33:43.3N,99.80%,277.7MiB,1GiB,
2025-07-05 22:33:45.3N,100.16%,276.9MiB,1GiB,
2025-07-05 22:33:47.3N,99.94%,267.5MiB,1GiB,
2025-07-05 22:33:49.3N,99.81%,271.7MiB,1GiB,
2025-07-05 22:33:51.3N,100.02%,271.8MiB,1GiB,
2025-07-05 22:33:53.3N,100.16%,273.6MiB,1GiB,
2025-07-05 22:33:55.3N,100.25%,275.4MiB,1GiB,
2025-07-05 22:33:57.3N,99.88%,267.6MiB,1GiB,
2025-07-05 22:33:59.3N,99.58%,267.8MiB,1GiB,
2025-07-05 22:34:01.3N,99.89%,271.9MiB,1GiB,
2025-07-05 22:34:03.3N,100.22%,275.9MiB,1GiB,
2025-07-05 22:34:05.3N,99.99%,277.5MiB,1GiB,
2025-07-05 22:34:07.3N,99.65%,366.1MiB,1GiB,
2025-07-05 22:34:09.3N,100.13%,273.6MiB,1GiB,
2025-07-05 22:34:11.3N,100.00%,272.4MiB,1GiB,
2025-07-05 22:34:13.3N,100.18%,276.2MiB,1GiB,
2025-07-05 22:34:15.3N,100.58%,278.3MiB,1GiB,
2025-07-05 22:34:17.3N,99.91%,280.2MiB,1GiB,
2025-07-05 22:34:19.3N,100.56%,283.9MiB,1GiB,
2025-07-05 22:34:21.3N,99.97%,286.5MiB,1GiB,
2025-07-05 22:34:23.3N,100.30%,276.3MiB,1GiB,
2025-07-05 22:34:25.3N,99.77%,278.1MiB,1GiB,
2025-07-05 22:34:27.3N,99.86%,280.2MiB,1GiB,
2025-07-05 22:34:29.3N,99.84%,284.3MiB,1GiB,
2025-07-05 22:34:31.3N,100.32%,286.2MiB,1GiB,
2025-07-05 22:34:33.3N,100.32%,290.3MiB,1GiB,
2025-07-05 22:34:35.3N,100.47%,292.1MiB,1GiB,
2025-07-05 22:34:37.3N,100.17%,278.3MiB,1GiB,
2025-07-05 22:34:39.3N,100.03%,280.2MiB,1GiB,
2025-07-05 22:34:41.3N,100.14%,282.2MiB,1GiB,
2025-07-05 22:34:43.3N,100.04%,286.2MiB,1GiB,
2025-07-05 22:34:45.3N,100.09%,290.1MiB,1GiB,
2025-07-05 22:34:47.3N,99.94%,294.2MiB,1GiB,
2025-07-05 22:34:49.3N,99.86%,292.9MiB,1GiB,
2025-07-05 22:34:51.3N,99.75%,286.2MiB,1GiB,
2025-07-05 22:34:53.3N,100.06%,290.4MiB,1GiB,
2025-07-05 22:34:55.3N,99.89%,292.1MiB,1GiB,
2025-07-05 22:34:57.3N,100.11%,292.2MiB,1GiB,
2025-07-05 22:34:59.3N,99.64%,296.1MiB,1GiB,
