Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-05 22:39:44.3N,104.20%,110MiB,1GiB,
2025-07-05 22:39:46.3N,100.76%,150.1MiB,1GiB,
2025-07-05 22:39:48.3N,100.94%,166.1MiB,1GiB,
2025-07-05 22:39:50.3N,101.05%,162.9MiB,1GiB,
2025-07-05 22:39:52.3N,100.50%,179MiB,1GiB,
2025-07-05 22:39:54.3N,100.36%,201.3MiB,1GiB,
2025-07-05 22:39:56.3N,99.85%,193.4MiB,1GiB,
2025-07-05 22:39:58.3N,100.05%,190.9MiB,1GiB,
2025-07-05 22:40:00.3N,100.10%,187.3MiB,1GiB,
2025-07-05 22:40:02.3N,99.97%,187.4MiB,1GiB,
2025-07-05 22:40:04.3N,99.94%,191.1MiB,1GiB,
2025-07-05 22:40:06.3N,100.10%,192.8MiB,1GiB,
2025-07-05 22:40:08.3N,99.85%,195.3MiB,1GiB,
2025-07-05 22:40:10.3N,99.76%,195.1MiB,1GiB,
2025-07-05 22:40:12.3N,100.07%,190.9MiB,1GiB,
2025-07-05 22:40:14.3N,99.88%,191.6MiB,1GiB,
2025-07-05 22:40:16.3N,99.72%,193.4MiB,1GiB,
2025-07-05 22:40:18.3N,99.80%,181.3MiB,1GiB,
2025-07-05 22:40:20.3N,100.16%,181.2MiB,1GiB,
2025-07-05 22:40:22.3N,100.16%,181.6MiB,1GiB,
2025-07-05 22:40:24.3N,100.01%,181.6MiB,1GiB,
2025-07-05 22:40:26.3N,99.76%,183.2MiB,1GiB,
2025-07-05 22:40:28.3N,99.83%,181MiB,1GiB,
2025-07-05 22:40:30.3N,99.90%,181.4MiB,1GiB,
2025-07-05 22:40:32.3N,99.90%,182.5MiB,1GiB,
2025-07-05 22:40:34.3N,100.04%,180.5MiB,1GiB,
2025-07-05 22:40:36.3N,100.86%,182.9MiB,1GiB,
2025-07-05 22:40:38.3N,100.14%,183MiB,1GiB,
2025-07-05 22:40:40.3N,99.53%,182.8MiB,1GiB,
2025-07-05 22:40:42.3N,100.08%,181MiB,1GiB,
2025-07-05 22:40:44.3N,100.13%,181MiB,1GiB,
2025-07-05 22:40:46.3N,99.91%,182.9MiB,1GiB,
2025-07-05 22:40:48.3N,99.90%,178.5MiB,1GiB,
2025-07-05 22:40:50.3N,99.87%,178.7MiB,1GiB,
2025-07-05 22:40:52.3N,100.07%,175.3MiB,1GiB,
2025-07-05 22:40:54.3N,99.95%,183.5MiB,1GiB,
2025-07-05 22:40:56.3N,99.68%,181.3MiB,1GiB,
2025-07-05 22:40:58.3N,100.07%,183.4MiB,1GiB,
2025-07-05 22:41:00.3N,101.12%,188.8MiB,1GiB,
