Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 00:19:24.3N,100.79%,119.6MiB,1GiB,
2025-07-06 00:19:26.3N,101.26%,152.3MiB,1GiB,
2025-07-06 00:19:28.3N,101.28%,160MiB,1GiB,
2025-07-06 00:19:30.3N,103.80%,172.5MiB,1GiB,
2025-07-06 00:19:32.3N,101.99%,179.8MiB,1GiB,
2025-07-06 00:19:34.3N,99.91%,199.8MiB,1GiB,
2025-07-06 00:19:36.3N,98.64%,198.5MiB,1GiB,
2025-07-06 00:19:38.3N,99.28%,202.1MiB,1GiB,
2025-07-06 00:19:40.3N,99.32%,192.7MiB,1GiB,
2025-07-06 00:19:42.3N,98.65%,195MiB,1GiB,
2025-07-06 00:19:44.3N,98.90%,201.3MiB,1GiB,
2025-07-06 00:19:46.3N,99.71%,195.4MiB,1GiB,
2025-07-06 00:19:48.3N,99.04%,197.3MiB,1GiB,
2025-07-06 00:19:51.3N,99.77%,197.2MiB,1GiB,
2025-07-06 00:19:53.3N,99.08%,199.2MiB,1GiB,
2025-07-06 00:19:55.3N,97.41%,200.4MiB,1GiB,
2025-07-06 00:19:57.3N,99.16%,204.2MiB,1GiB,
2025-07-06 00:19:59.3N,99.98%,188.2MiB,1GiB,
2025-07-06 00:20:01.3N,99.32%,186.7MiB,1GiB,
2025-07-06 00:20:03.3N,99.89%,184.6MiB,1GiB,
2025-07-06 00:20:05.3N,99.35%,186.7MiB,1GiB,
2025-07-06 00:20:07.3N,99.59%,186.6MiB,1GiB,
2025-07-06 00:20:09.3N,99.78%,188.5MiB,1GiB,
2025-07-06 00:20:11.3N,100.11%,188.6MiB,1GiB,
2025-07-06 00:20:13.3N,99.94%,188.7MiB,1GiB,
2025-07-06 00:20:15.3N,98.39%,186.8MiB,1GiB,
2025-07-06 00:20:17.3N,99.01%,186.6MiB,1GiB,
2025-07-06 00:20:19.3N,99.84%,184.5MiB,1GiB,
2025-07-06 00:20:21.3N,99.04%,184.7MiB,1GiB,
2025-07-06 00:20:23.3N,98.44%,184.6MiB,1GiB,
2025-07-06 00:20:25.3N,98.91%,186.7MiB,1GiB,
2025-07-06 00:20:27.3N,100.19%,184.4MiB,1GiB,
2025-07-06 00:20:29.3N,99.62%,182.3MiB,1GiB,
2025-07-06 00:20:31.3N,99.27%,186.3MiB,1GiB,
2025-07-06 00:20:33.3N,99.56%,186.1MiB,1GiB,
2025-07-06 00:20:35.3N,99.93%,184.1MiB,1GiB,
2025-07-06 00:20:37.3N,100.29%,182.4MiB,1GiB,
2025-07-06 00:20:39.3N,99.80%,182.5MiB,1GiB,
2025-07-06 00:20:41.3N,98.76%,183.9MiB,1GiB,
2025-07-06 00:20:43.3N,99.08%,182.2MiB,1GiB,
2025-07-06 00:20:45.3N,99.48%,181MiB,1GiB,
2025-07-06 00:20:47.3N,98.82%,187.3MiB,1GiB,
2025-07-06 00:20:49.3N,98.97%,186.9MiB,1GiB,
2025-07-06 00:20:51.3N,98.07%,189.1MiB,1GiB,
2025-07-06 00:20:53.3N,100.06%,190.6MiB,1GiB,
2025-07-06 00:20:55.3N,99.16%,190.3MiB,1GiB,
2025-07-06 00:20:57.3N,99.32%,192.4MiB,1GiB,
2025-07-06 00:20:59.3N,100.43%,190.3MiB,1GiB,
2025-07-06 00:21:01.3N,99.62%,190.2MiB,1GiB,
2025-07-06 00:21:03.3N,99.62%,190.2MiB,1GiB,
2025-07-06 00:21:05.3N,100.00%,190.2MiB,1GiB,
2025-07-06 00:21:07.3N,99.18%,190.2MiB,1GiB,
2025-07-06 00:21:09.3N,99.29%,190.8MiB,1GiB,
2025-07-06 00:21:11.3N,99.62%,193.2MiB,1GiB,
2025-07-06 00:21:13.3N,99.00%,191.5MiB,1GiB,
2025-07-06 00:21:15.3N,99.54%,191.6MiB,1GiB,
2025-07-06 00:21:17.3N,100.07%,192MiB,1GiB,
2025-07-06 00:21:19.3N,99.17%,192MiB,1GiB,
2025-07-06 00:21:21.3N,100.36%,192.4MiB,1GiB,
2025-07-06 00:21:23.3N,99.44%,194.5MiB,1GiB,
2025-07-06 00:21:25.3N,99.43%,196.3MiB,1GiB,
2025-07-06 00:21:27.3N,99.62%,196.3MiB,1GiB,
2025-07-06 00:21:29.3N,99.83%,192.4MiB,1GiB,
2025-07-06 00:21:31.3N,99.68%,196.4MiB,1GiB,
2025-07-06 00:21:33.3N,99.11%,192.2MiB,1GiB,
2025-07-06 00:21:35.3N,100.28%,196.3MiB,1GiB,
2025-07-06 00:21:37.3N,100.45%,202.1MiB,1GiB,
2025-07-06 00:21:39.3N,99.83%,199.9MiB,1GiB,
2025-07-06 00:21:41.3N,99.63%,202MiB,1GiB,
2025-07-06 00:21:43.3N,99.79%,198.3MiB,1GiB,
2025-07-06 00:21:45.3N,100.32%,194.3MiB,1GiB,
2025-07-06 00:21:47.3N,99.44%,198.5MiB,1GiB,
2025-07-06 00:21:49.3N,99.24%,200.2MiB,1GiB,
2025-07-06 00:21:51.3N,99.50%,200.4MiB,1GiB,
2025-07-06 00:21:53.3N,99.95%,197.8MiB,1GiB,
2025-07-06 00:21:55.3N,99.75%,197.5MiB,1GiB,
2025-07-06 00:21:57.3N,98.59%,199.5MiB,1GiB,
2025-07-06 00:21:59.3N,99.55%,197.7MiB,1GiB,
2025-07-06 00:22:01.3N,98.80%,197.7MiB,1GiB,
2025-07-06 00:22:03.3N,99.44%,199.7MiB,1GiB,
2025-07-06 00:22:05.3N,99.98%,203.5MiB,1GiB,
2025-07-06 00:22:07.3N,99.72%,197.9MiB,1GiB,
2025-07-06 00:22:09.3N,99.89%,200.4MiB,1GiB,
2025-07-06 00:22:11.3N,100.11%,199.5MiB,1GiB,
2025-07-06 00:22:13.3N,99.42%,203.7MiB,1GiB,
2025-07-06 00:22:15.3N,100.04%,203.9MiB,1GiB,
2025-07-06 00:22:17.3N,100.01%,205.7MiB,1GiB,
2025-07-06 00:22:19.3N,98.94%,207.5MiB,1GiB,
2025-07-06 00:22:21.3N,100.09%,205.1MiB,1GiB,
2025-07-06 00:22:23.3N,100.06%,205.2MiB,1GiB,
2025-07-06 00:22:25.3N,99.59%,205.4MiB,1GiB,
2025-07-06 00:22:27.3N,99.50%,205.3MiB,1GiB,
2025-07-06 00:22:29.3N,99.17%,207.3MiB,1GiB,
2025-07-06 00:22:31.3N,99.98%,205.3MiB,1GiB,
2025-07-06 00:22:33.3N,99.59%,207.6MiB,1GiB,
2025-07-06 00:22:35.3N,100.07%,207.5MiB,1GiB,
2025-07-06 00:22:37.3N,99.79%,207.5MiB,1GiB,
2025-07-06 00:22:39.3N,99.57%,207.7MiB,1GiB,
2025-07-06 00:22:41.3N,99.57%,208.7MiB,1GiB,
2025-07-06 00:22:43.3N,100.15%,206.7MiB,1GiB,
2025-07-06 00:22:45.3N,99.91%,206.6MiB,1GiB,
2025-07-06 00:22:47.3N,99.80%,210.6MiB,1GiB,
2025-07-06 00:22:49.3N,99.40%,206.5MiB,1GiB,
2025-07-06 00:22:51.3N,99.51%,207.7MiB,1GiB,
2025-07-06 00:22:53.3N,99.66%,209.6MiB,1GiB,
2025-07-06 00:22:55.3N,99.09%,206.5MiB,1GiB,
2025-07-06 00:22:57.3N,98.38%,208.7MiB,1GiB,
2025-07-06 00:22:59.3N,98.74%,210.7MiB,1GiB,
2025-07-06 00:23:01.3N,99.44%,208.9MiB,1GiB,
2025-07-06 00:23:03.3N,99.14%,209.1MiB,1GiB,
2025-07-06 00:23:05.3N,99.37%,208.9MiB,1GiB,
2025-07-06 00:23:07.3N,99.83%,209MiB,1GiB,
2025-07-06 00:23:09.3N,99.29%,207.3MiB,1GiB,
2025-07-06 00:23:11.3N,99.72%,207.5MiB,1GiB,
2025-07-06 00:23:13.3N,98.35%,207.4MiB,1GiB,
2025-07-06 00:23:15.3N,98.56%,204.8MiB,1GiB,
2025-07-06 00:23:17.3N,98.73%,207.3MiB,1GiB,
2025-07-06 00:23:19.3N,99.28%,205.1MiB,1GiB,
2025-07-06 00:23:21.3N,99.05%,211MiB,1GiB,
2025-07-06 00:23:23.3N,99.80%,208.9MiB,1GiB,
2025-07-06 00:23:25.3N,99.41%,211.3MiB,1GiB,
2025-07-06 00:23:27.3N,99.90%,211MiB,1GiB,
2025-07-06 00:23:29.3N,100.00%,212.8MiB,1GiB,
2025-07-06 00:23:31.3N,100.18%,212.6MiB,1GiB,
2025-07-06 00:23:33.3N,100.17%,207.5MiB,1GiB,
2025-07-06 00:23:35.3N,100.21%,213.5MiB,1GiB,
2025-07-06 00:23:37.3N,99.91%,213.4MiB,1GiB,
2025-07-06 00:23:39.3N,99.79%,211.4MiB,1GiB,
2025-07-06 00:23:41.3N,99.58%,213.4MiB,1GiB,
2025-07-06 00:23:43.3N,100.00%,213MiB,1GiB,
2025-07-06 00:23:45.3N,98.76%,215MiB,1GiB,
2025-07-06 00:23:47.3N,99.94%,214.9MiB,1GiB,
2025-07-06 00:23:49.3N,100.05%,212.4MiB,1GiB,
