Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 00:35:48.3N,101.39%,134.6MiB,1GiB,
2025-07-06 00:35:50.3N,100.78%,149.3MiB,1GiB,
2025-07-06 00:35:52.3N,99.78%,158.7MiB,1GiB,
2025-07-06 00:35:54.3N,100.35%,166.1MiB,1GiB,
2025-07-06 00:35:56.3N,100.48%,170.5MiB,1GiB,
2025-07-06 00:35:58.3N,98.70%,193.2MiB,1GiB,
2025-07-06 00:36:00.3N,98.45%,191.5MiB,1GiB,
2025-07-06 00:36:02.3N,99.30%,191.8MiB,1GiB,
2025-07-06 00:36:04.3N,99.55%,198.5MiB,1GiB,
2025-07-06 00:36:06.3N,99.10%,194.9MiB,1GiB,
2025-07-06 00:36:08.3N,99.81%,195.2MiB,1GiB,
2025-07-06 00:36:10.3N,98.37%,197MiB,1GiB,
2025-07-06 00:36:12.3N,98.38%,194.8MiB,1GiB,
2025-07-06 00:36:14.3N,99.41%,194.4MiB,1GiB,
2025-07-06 00:36:16.3N,98.27%,194.5MiB,1GiB,
2025-07-06 00:36:18.3N,100.05%,193.9MiB,1GiB,
2025-07-06 00:36:20.3N,99.05%,199.8MiB,1GiB,
2025-07-06 00:36:22.3N,99.61%,187.5MiB,1GiB,
2025-07-06 00:36:24.3N,100.34%,186.2MiB,1GiB,
2025-07-06 00:36:26.3N,99.76%,184.4MiB,1GiB,
2025-07-06 00:36:28.3N,100.36%,184MiB,1GiB,
2025-07-06 00:36:30.3N,100.14%,182.2MiB,1GiB,
2025-07-06 00:36:32.3N,99.87%,184.2MiB,1GiB,
2025-07-06 00:36:34.3N,99.93%,182.4MiB,1GiB,
2025-07-06 00:36:36.3N,99.29%,184.4MiB,1GiB,
2025-07-06 00:36:38.3N,99.34%,185.9MiB,1GiB,
2025-07-06 00:36:40.3N,99.84%,183.8MiB,1GiB,
2025-07-06 00:36:42.3N,99.95%,183.6MiB,1GiB,
2025-07-06 00:36:44.3N,99.70%,183.6MiB,1GiB,
2025-07-06 00:36:46.3N,99.53%,183.7MiB,1GiB,
2025-07-06 00:36:48.3N,99.19%,185.4MiB,1GiB,
2025-07-06 00:36:50.3N,100.00%,181.1MiB,1GiB,
2025-07-06 00:36:52.3N,99.44%,179.3MiB,1GiB,
2025-07-06 00:36:54.3N,99.11%,183.3MiB,1GiB,
2025-07-06 00:36:56.3N,99.18%,181.4MiB,1GiB,
2025-07-06 00:36:58.3N,99.54%,182.9MiB,1GiB,
2025-07-06 00:37:00.3N,100.13%,179MiB,1GiB,
2025-07-06 00:37:02.3N,99.24%,187.6MiB,1GiB,
2025-07-06 00:37:04.3N,99.11%,184.2MiB,1GiB,
2025-07-06 00:37:06.3N,99.42%,184.4MiB,1GiB,
2025-07-06 00:37:08.3N,99.61%,182.1MiB,1GiB,
2025-07-06 00:37:10.3N,99.66%,194.6MiB,1GiB,
2025-07-06 00:37:12.3N,100.11%,190.6MiB,1GiB,
2025-07-06 00:37:14.3N,99.96%,190.6MiB,1GiB,
2025-07-06 00:37:16.3N,99.25%,192.6MiB,1GiB,
2025-07-06 00:37:18.3N,99.22%,192.4MiB,1GiB,
2025-07-06 00:37:20.3N,100.51%,192.5MiB,1GiB,
2025-07-06 00:37:22.3N,100.21%,196.3MiB,1GiB,
2025-07-06 00:37:24.3N,98.61%,190.4MiB,1GiB,
2025-07-06 00:37:26.3N,99.11%,192.3MiB,1GiB,
2025-07-06 00:37:28.3N,100.02%,190.3MiB,1GiB,
2025-07-06 00:37:30.3N,99.94%,192.3MiB,1GiB,
2025-07-06 00:37:32.3N,99.96%,190.6MiB,1GiB,
2025-07-06 00:37:34.3N,100.30%,193.2MiB,1GiB,
2025-07-06 00:37:36.3N,98.38%,193.1MiB,1GiB,
2025-07-06 00:37:38.3N,100.08%,191.5MiB,1GiB,
2025-07-06 00:37:40.3N,100.04%,193.9MiB,1GiB,
2025-07-06 00:37:42.3N,98.03%,191.9MiB,1GiB,
2025-07-06 00:37:44.3N,100.07%,192.3MiB,1GiB,
2025-07-06 00:37:46.3N,99.89%,198.3MiB,1GiB,
2025-07-06 00:37:48.3N,99.43%,196.2MiB,1GiB,
2025-07-06 00:37:50.3N,100.09%,192.2MiB,1GiB,
2025-07-06 00:37:52.3N,100.08%,196.4MiB,1GiB,
2025-07-06 00:37:54.3N,100.01%,196.3MiB,1GiB,
2025-07-06 00:37:56.3N,100.31%,192.5MiB,1GiB,
2025-07-06 00:37:58.3N,99.90%,196.3MiB,1GiB,
2025-07-06 00:38:00.3N,100.25%,199.9MiB,1GiB,
