Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-05 22:07:33.3N,106.22%,139.4MiB,1GiB,
2025-07-05 22:07:35.3N,100.40%,152.2MiB,1GiB,
2025-07-05 22:07:37.3N,101.17%,161MiB,1GiB,
2025-07-05 22:07:39.3N,99.88%,178MiB,1GiB,
2025-07-05 22:07:41.3N,99.42%,186.6MiB,1GiB,
2025-07-05 22:07:43.3N,100.20%,208MiB,1GiB,
2025-07-05 22:07:45.3N,99.78%,206.9MiB,1GiB,
2025-07-05 22:07:47.3N,99.60%,201.6MiB,1GiB,
2025-07-05 22:07:49.3N,98.90%,194.2MiB,1GiB,
2025-07-05 22:07:51.3N,99.30%,200.5MiB,1GiB,
2025-07-05 22:07:53.3N,100.17%,197.9MiB,1GiB,
2025-07-05 22:07:55.3N,99.56%,202.3MiB,1GiB,
2025-07-05 22:07:57.3N,99.26%,203MiB,1GiB,
2025-07-05 22:07:59.3N,99.86%,201.1MiB,1GiB,
2025-07-05 22:08:01.3N,98.47%,198.6MiB,1GiB,
2025-07-05 22:08:03.3N,99.77%,194.4MiB,1GiB,
2025-07-05 22:08:05.3N,99.19%,186.2MiB,1GiB,
2025-07-05 22:08:07.3N,99.67%,184.8MiB,1GiB,
2025-07-05 22:08:09.3N,99.39%,186.8MiB,1GiB,
2025-07-05 22:08:11.3N,100.04%,184.3MiB,1GiB,
2025-07-05 22:08:13.3N,99.21%,187.4MiB,1GiB,
2025-07-05 22:08:15.3N,98.89%,187.2MiB,1GiB,
2025-07-05 22:08:17.3N,99.51%,184.5MiB,1GiB,
2025-07-05 22:08:19.3N,99.63%,184.4MiB,1GiB,
2025-07-05 22:08:21.3N,99.68%,191.6MiB,1GiB,
2025-07-05 22:08:23.3N,99.40%,191.5MiB,1GiB,
2025-07-05 22:08:25.3N,100.19%,188.1MiB,1GiB,
2025-07-05 22:08:27.3N,99.62%,186MiB,1GiB,
2025-07-05 22:08:29.3N,99.49%,185.9MiB,1GiB,
