Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 02:16:58.3N,100.10%,202.1MiB,1GiB,
2025-07-06 02:17:00.3N,99.43%,202.1MiB,1GiB,
2025-07-06 02:17:02.3N,100.19%,201.8MiB,1GiB,
2025-07-06 02:17:04.3N,100.03%,199.8MiB,1GiB,
2025-07-06 02:17:06.3N,99.99%,200.2MiB,1GiB,
2025-07-06 02:17:08.3N,100.19%,201.2MiB,1GiB,
2025-07-06 02:17:10.3N,100.19%,199.2MiB,1GiB,
2025-07-06 02:17:12.3N,100.35%,201.2MiB,1GiB,
2025-07-06 02:17:14.3N,99.40%,201.4MiB,1GiB,
2025-07-06 02:17:16.3N,99.80%,203.2MiB,1GiB,
2025-07-06 02:17:18.3N,99.29%,209.1MiB,1GiB,
2025-07-06 02:17:20.3N,99.33%,203.1MiB,1GiB,
2025-07-06 02:17:22.3N,99.51%,200.9MiB,1GiB,
2025-07-06 02:17:24.3N,98.30%,199MiB,1GiB,
2025-07-06 02:17:26.3N,99.97%,199MiB,1GiB,
2025-07-06 02:17:28.3N,99.90%,199.1MiB,1GiB,
2025-07-06 02:17:30.3N,99.76%,197.9MiB,1GiB,
2025-07-06 02:17:32.3N,100.06%,200.5MiB,1GiB,
2025-07-06 02:17:34.3N,99.94%,200.5MiB,1GiB,
2025-07-06 02:17:36.3N,99.25%,198.5MiB,1GiB,
2025-07-06 02:17:38.3N,100.17%,199.7MiB,1GiB,
2025-07-06 02:17:40.3N,100.31%,195.2MiB,1GiB,
2025-07-06 02:17:42.3N,98.50%,195MiB,1GiB,
2025-07-06 02:17:44.3N,98.80%,197.9MiB,1GiB,
2025-07-06 02:17:46.3N,99.76%,199.2MiB,1GiB,
2025-07-06 02:17:48.3N,98.72%,199.1MiB,1GiB,
2025-07-06 02:17:50.3N,99.82%,201.2MiB,1GiB,
2025-07-06 02:17:52.3N,100.23%,203MiB,1GiB,
2025-07-06 02:17:54.3N,99.33%,203.1MiB,1GiB,
2025-07-06 02:17:56.3N,100.06%,203.1MiB,1GiB,
2025-07-06 02:17:58.3N,99.33%,200.1MiB,1GiB,
2025-07-06 02:18:00.3N,99.07%,202MiB,1GiB,
2025-07-06 02:18:02.3N,98.88%,204.1MiB,1GiB,
2025-07-06 02:18:04.3N,99.75%,201.9MiB,1GiB,
2025-07-06 02:18:06.3N,99.93%,205.9MiB,1GiB,
2025-07-06 02:18:08.3N,99.79%,204.1MiB,1GiB,
2025-07-06 02:18:10.3N,99.69%,206MiB,1GiB,
2025-07-06 02:18:12.3N,99.65%,204.1MiB,1GiB,
2025-07-06 02:18:14.3N,100.26%,201.9MiB,1GiB,
2025-07-06 02:18:16.3N,100.39%,205.8MiB,1GiB,
2025-07-06 02:18:18.3N,100.15%,210.8MiB,1GiB,
2025-07-06 02:18:20.3N,99.32%,207.8MiB,1GiB,
2025-07-06 02:18:22.3N,99.73%,205.1MiB,1GiB,
2025-07-06 02:18:24.3N,99.71%,203.3MiB,1GiB,
2025-07-06 02:18:26.3N,98.87%,203.2MiB,1GiB,
2025-07-06 02:18:28.3N,99.06%,205.1MiB,1GiB,
2025-07-06 02:18:30.3N,99.56%,205.3MiB,1GiB,
2025-07-06 02:18:32.3N,100.03%,207.3MiB,1GiB,
2025-07-06 02:18:34.3N,99.08%,207.1MiB,1GiB,
2025-07-06 02:18:36.3N,100.23%,207.3MiB,1GiB,
2025-07-06 02:18:38.3N,100.05%,207.3MiB,1GiB,
2025-07-06 02:18:40.3N,99.30%,205.3MiB,1GiB,
2025-07-06 02:18:42.3N,99.69%,205.1MiB,1GiB,
2025-07-06 02:18:44.3N,100.48%,203.7MiB,1GiB,
2025-07-06 02:18:46.3N,99.25%,205.5MiB,1GiB,
2025-07-06 02:18:48.3N,99.47%,209.7MiB,1GiB,
2025-07-06 02:18:50.3N,98.45%,207.5MiB,1GiB,
2025-07-06 02:18:52.3N,98.75%,207.6MiB,1GiB,
2025-07-06 02:18:54.3N,99.53%,207.6MiB,1GiB,
2025-07-06 02:18:56.3N,100.21%,205.6MiB,1GiB,
2025-07-06 02:18:58.3N,99.77%,203.6MiB,1GiB,
2025-07-06 02:19:00.3N,99.11%,207.7MiB,1GiB,
2025-07-06 02:19:02.3N,99.06%,207.9MiB,1GiB,
