Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-05 21:51:22.3N,102.17%,105.6MiB,1GiB,
2025-07-05 21:51:24.3N,99.70%,148.2MiB,1GiB,
2025-07-05 21:51:26.3N,104.75%,164.8MiB,1GiB,
2025-07-05 21:51:28.3N,101.00%,157.7MiB,1GiB,
2025-07-05 21:51:30.3N,99.71%,173.1MiB,1GiB,
2025-07-05 21:51:32.3N,95.74%,189.6MiB,1GiB,
2025-07-05 21:51:34.3N,100.13%,188.3MiB,1GiB,
2025-07-05 21:51:36.3N,98.76%,190.4MiB,1GiB,
2025-07-05 21:51:38.3N,98.52%,190.9MiB,1GiB,
2025-07-05 21:51:40.3N,98.81%,186.6MiB,1GiB,
2025-07-05 21:51:42.3N,98.88%,188.2MiB,1GiB,
2025-07-05 21:51:44.3N,100.17%,196.4MiB,1GiB,
2025-07-05 21:51:46.3N,98.57%,199.2MiB,1GiB,
2025-07-05 21:51:48.3N,99.66%,195MiB,1GiB,
2025-07-05 21:51:50.3N,99.82%,194.7MiB,1GiB,
2025-07-05 21:51:52.3N,100.15%,190.7MiB,1GiB,
2025-07-05 21:51:54.3N,100.06%,179.2MiB,1GiB,
2025-07-05 21:51:56.3N,99.90%,181.3MiB,1GiB,
2025-07-05 21:51:58.3N,100.32%,180.9MiB,1GiB,
2025-07-05 21:52:00.3N,100.72%,180.7MiB,1GiB,
2025-07-05 21:52:02.3N,99.24%,179.1MiB,1GiB,
2025-07-05 21:52:04.3N,98.66%,179MiB,1GiB,
2025-07-05 21:52:06.3N,99.50%,181.1MiB,1GiB,
2025-07-05 21:52:08.3N,99.99%,180.4MiB,1GiB,
2025-07-05 21:52:10.3N,99.00%,177.8MiB,1GiB,
2025-07-05 21:52:12.3N,98.10%,180.6MiB,1GiB,
2025-07-05 21:52:14.3N,99.18%,182.6MiB,1GiB,
2025-07-05 21:52:16.3N,99.83%,180.4MiB,1GiB,
2025-07-05 21:52:18.3N,99.12%,180.3MiB,1GiB,
2025-07-05 21:52:20.3N,99.55%,178.1MiB,1GiB,
2025-07-05 21:52:22.3N,99.97%,180.4MiB,1GiB,
2025-07-05 21:52:24.3N,100.15%,178.7MiB,1GiB,
2025-07-05 21:52:26.3N,99.72%,174.8MiB,1GiB,
2025-07-05 21:52:28.3N,99.55%,178.9MiB,1GiB,
2025-07-05 21:52:30.3N,100.37%,178.4MiB,1GiB,
2025-07-05 21:52:32.3N,98.75%,182MiB,1GiB,
2025-07-05 21:52:34.3N,99.85%,179.7MiB,1GiB,
2025-07-05 21:52:36.3N,99.56%,180MiB,1GiB,
2025-07-05 21:52:38.3N,99.32%,181.7MiB,1GiB,
2025-07-05 21:52:40.3N,99.64%,181.9MiB,1GiB,
2025-07-05 21:52:42.3N,98.82%,179.6MiB,1GiB,
2025-07-05 21:52:44.3N,99.89%,183.7MiB,1GiB,
2025-07-05 21:52:46.3N,98.83%,185.3MiB,1GiB,
2025-07-05 21:52:48.3N,100.11%,183.8MiB,1GiB,
2025-07-05 21:52:50.3N,100.41%,184.1MiB,1GiB,
2025-07-05 21:52:52.3N,100.04%,182.3MiB,1GiB,
2025-07-05 21:52:54.3N,99.95%,184.3MiB,1GiB,
2025-07-05 21:52:56.3N,99.96%,184.5MiB,1GiB,
2025-07-05 21:52:58.3N,100.22%,186.7MiB,1GiB,
2025-07-05 21:53:00.3N,100.42%,183.2MiB,1GiB,
2025-07-05 21:53:02.3N,99.00%,181.3MiB,1GiB,
2025-07-05 21:53:04.3N,99.82%,187.3MiB,1GiB,
2025-07-05 21:53:06.3N,100.21%,183.2MiB,1GiB,
2025-07-05 21:53:08.3N,100.32%,185.3MiB,1GiB,
2025-07-05 21:53:11.3N,99.78%,187.2MiB,1GiB,
