Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 01:08:26.3N,105.25%,109.8MiB,1GiB,
2025-07-06 01:08:28.3N,100.12%,148.3MiB,1GiB,
2025-07-06 01:08:30.3N,100.61%,165.9MiB,1GiB,
2025-07-06 01:08:32.3N,100.71%,166.5MiB,1GiB,
2025-07-06 01:08:34.3N,100.65%,179.5MiB,1GiB,
2025-07-06 01:08:36.3N,96.45%,203.7MiB,1GiB,
2025-07-06 01:08:38.3N,99.99%,193.7MiB,1GiB,
2025-07-06 01:08:40.3N,100.03%,200MiB,1GiB,
2025-07-06 01:08:42.3N,100.03%,189.1MiB,1GiB,
2025-07-06 01:08:44.3N,99.87%,193.7MiB,1GiB,
2025-07-06 01:08:46.3N,99.76%,191.3MiB,1GiB,
2025-07-06 01:08:48.3N,99.87%,195.7MiB,1GiB,
2025-07-06 01:08:50.3N,99.50%,193.5MiB,1GiB,
2025-07-06 01:08:52.3N,99.86%,193.4MiB,1GiB,
2025-07-06 01:08:54.3N,99.63%,187.2MiB,1GiB,
2025-07-06 01:08:56.3N,100.02%,199.2MiB,1GiB,
2025-07-06 01:08:58.3N,99.98%,188.5MiB,1GiB,
2025-07-06 01:09:00.3N,100.07%,182.6MiB,1GiB,
2025-07-06 01:09:02.3N,100.14%,181.1MiB,1GiB,
2025-07-06 01:09:04.3N,99.86%,181.2MiB,1GiB,
2025-07-06 01:09:06.3N,99.71%,178.8MiB,1GiB,
2025-07-06 01:09:08.3N,99.81%,180.8MiB,1GiB,
2025-07-06 01:09:10.3N,99.85%,183.1MiB,1GiB,
2025-07-06 01:09:12.3N,99.80%,178.9MiB,1GiB,
2025-07-06 01:09:14.3N,99.98%,181.1MiB,1GiB,
2025-07-06 01:09:16.3N,100.19%,182.7MiB,1GiB,
2025-07-06 01:09:18.3N,99.88%,180.8MiB,1GiB,
2025-07-06 01:09:21.3N,100.25%,180.7MiB,1GiB,
2025-07-06 01:09:23.3N,100.32%,184.7MiB,1GiB,
2025-07-06 01:09:25.3N,99.94%,181.2MiB,1GiB,
2025-07-06 01:09:27.3N,100.08%,185.2MiB,1GiB,
2025-07-06 01:09:29.3N,99.82%,182.9MiB,1GiB,
2025-07-06 01:09:31.3N,100.01%,181.1MiB,1GiB,
