Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 00:52:16.3N,104.36%,106.9MiB,1GiB,
2025-07-06 00:52:18.3N,101.72%,143.2MiB,1GiB,
2025-07-06 00:52:20.3N,102.99%,160.8MiB,1GiB,
2025-07-06 00:52:22.3N,101.96%,152.4MiB,1GiB,
2025-07-06 00:52:24.3N,101.11%,170MiB,1GiB,
2025-07-06 00:52:26.3N,95.86%,184.1MiB,1GiB,
2025-07-06 00:52:28.3N,100.30%,186.2MiB,1GiB,
2025-07-06 00:52:30.3N,99.63%,194MiB,1GiB,
2025-07-06 00:52:32.3N,99.95%,190.6MiB,1GiB,
2025-07-06 00:52:34.3N,99.49%,191.2MiB,1GiB,
2025-07-06 00:52:36.3N,99.51%,195.1MiB,1GiB,
2025-07-06 00:52:38.3N,100.01%,195.4MiB,1GiB,
2025-07-06 00:52:40.3N,99.10%,187.3MiB,1GiB,
2025-07-06 00:52:42.3N,99.93%,194.9MiB,1GiB,
2025-07-06 00:52:44.3N,99.55%,191.1MiB,1GiB,
2025-07-06 00:52:46.3N,99.43%,194.5MiB,1GiB,
2025-07-06 00:52:48.3N,99.60%,180.2MiB,1GiB,
2025-07-06 00:52:50.3N,100.05%,180MiB,1GiB,
2025-07-06 00:52:52.3N,99.77%,181.9MiB,1GiB,
2025-07-06 00:52:54.3N,100.19%,180MiB,1GiB,
2025-07-06 00:52:56.3N,100.15%,181.5MiB,1GiB,
2025-07-06 00:52:58.3N,100.35%,181.7MiB,1GiB,
2025-07-06 00:53:00.3N,99.96%,183.7MiB,1GiB,
2025-07-06 00:53:02.3N,100.09%,181.5MiB,1GiB,
2025-07-06 00:53:04.3N,99.71%,183.5MiB,1GiB,
2025-07-06 00:53:06.3N,99.92%,181.4MiB,1GiB,
2025-07-06 00:53:08.3N,100.09%,179MiB,1GiB,
2025-07-06 00:53:10.3N,100.17%,179MiB,1GiB,
2025-07-06 00:53:12.3N,99.39%,181MiB,1GiB,
2025-07-06 00:53:14.3N,99.99%,180.6MiB,1GiB,
2025-07-06 00:53:16.3N,99.66%,181.3MiB,1GiB,
2025-07-06 00:53:18.3N,99.82%,183MiB,1GiB,
2025-07-06 00:53:20.3N,100.34%,178.7MiB,1GiB,
2025-07-06 00:53:22.3N,99.91%,182.8MiB,1GiB,
