Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-05 21:18:51.3N,110.06%,110.7MiB,1GiB,
2025-07-05 21:18:53.3N,101.17%,143.3MiB,1GiB,
2025-07-05 21:18:55.3N,101.14%,159.2MiB,1GiB,
2025-07-05 21:18:57.3N,100.95%,159.9MiB,1GiB,
2025-07-05 21:18:59.3N,100.40%,177.3MiB,1GiB,
2025-07-05 21:19:01.3N,95.25%,196.4MiB,1GiB,
2025-07-05 21:19:03.3N,99.94%,188MiB,1GiB,
2025-07-05 21:19:05.3N,99.50%,193.7MiB,1GiB,
2025-07-05 21:19:07.3N,99.59%,188.3MiB,1GiB,
2025-07-05 21:19:09.3N,99.22%,189.6MiB,1GiB,
2025-07-05 21:19:11.3N,99.64%,191.6MiB,1GiB,
2025-07-05 21:19:13.3N,100.00%,195.3MiB,1GiB,
2025-07-05 21:19:15.3N,99.81%,192.9MiB,1GiB,
2025-07-05 21:19:17.3N,99.67%,198.8MiB,1GiB,
2025-07-05 21:19:19.3N,99.95%,198.8MiB,1GiB,
2025-07-05 21:19:21.3N,98.89%,192.2MiB,1GiB,
2025-07-05 21:19:23.3N,99.65%,181.2MiB,1GiB,
2025-07-05 21:19:25.3N,99.77%,178.9MiB,1GiB,
2025-07-05 21:19:27.3N,100.34%,181MiB,1GiB,
2025-07-05 21:19:29.3N,100.21%,178.9MiB,1GiB,
2025-07-05 21:19:31.3N,100.20%,179.1MiB,1GiB,
2025-07-05 21:19:33.3N,100.00%,180.9MiB,1GiB,
2025-07-05 21:19:35.3N,99.83%,180.8MiB,1GiB,
2025-07-05 21:19:37.3N,99.99%,176.5MiB,1GiB,
2025-07-05 21:19:39.3N,100.00%,180.6MiB,1GiB,
2025-07-05 21:19:41.3N,100.18%,179.4MiB,1GiB,
2025-07-05 21:19:43.3N,99.62%,179.3MiB,1GiB,
2025-07-05 21:19:45.3N,99.31%,181.2MiB,1GiB,
2025-07-05 21:19:47.3N,99.73%,179.3MiB,1GiB,
2025-07-05 21:19:49.3N,100.27%,179.4MiB,1GiB,
2025-07-05 21:19:51.3N,100.28%,179.3MiB,1GiB,
2025-07-05 21:19:53.3N,99.68%,179.2MiB,1GiB,
2025-07-05 21:19:55.3N,100.04%,179.4MiB,1GiB,
2025-07-05 21:19:57.3N,99.94%,177.3MiB,1GiB,
2025-07-05 21:19:59.3N,100.19%,178.5MiB,1GiB,
2025-07-05 21:20:01.3N,99.91%,181.9MiB,1GiB,
2025-07-05 21:20:03.3N,100.09%,179.8MiB,1GiB,
2025-07-05 21:20:05.3N,99.62%,181.5MiB,1GiB,
2025-07-05 21:20:07.3N,99.77%,183.3MiB,1GiB,
2025-07-05 21:20:09.3N,99.76%,180.7MiB,1GiB,
2025-07-05 21:20:11.3N,99.86%,180.9MiB,1GiB,
2025-07-05 21:20:13.3N,100.12%,182.9MiB,1GiB,
2025-07-05 21:20:15.3N,99.82%,182.9MiB,1GiB,
2025-07-05 21:20:17.3N,99.85%,180.8MiB,1GiB,
2025-07-05 21:20:19.3N,99.94%,180.6MiB,1GiB,
2025-07-05 21:20:21.3N,99.98%,181.2MiB,1GiB,
2025-07-05 21:20:23.3N,99.52%,181MiB,1GiB,
2025-07-05 21:20:25.3N,100.02%,181.4MiB,1GiB,
2025-07-05 21:20:27.3N,99.88%,187.6MiB,1GiB,
2025-07-05 21:20:29.3N,99.84%,180MiB,1GiB,
2025-07-05 21:20:31.3N,99.69%,182.4MiB,1GiB,
2025-07-05 21:20:33.3N,100.08%,184.3MiB,1GiB,
2025-07-05 21:20:35.3N,99.82%,184.2MiB,1GiB,
2025-07-05 21:20:37.3N,99.94%,184.4MiB,1GiB,
2025-07-05 21:20:39.3N,99.72%,186.3MiB,1GiB,
2025-07-05 21:20:41.3N,100.02%,186.2MiB,1GiB,
2025-07-05 21:20:43.3N,99.75%,184.4MiB,1GiB,
2025-07-05 21:20:45.3N,99.91%,186.4MiB,1GiB,
2025-07-05 21:20:47.3N,99.65%,186.6MiB,1GiB,
2025-07-05 21:20:49.3N,99.96%,186.5MiB,1GiB,
2025-07-05 21:20:51.3N,99.70%,186.4MiB,1GiB,
2025-07-05 21:20:53.3N,99.49%,188.4MiB,1GiB,
2025-07-05 21:20:55.3N,99.99%,188.3MiB,1GiB,
2025-07-05 21:20:57.3N,100.15%,188.3MiB,1GiB,
2025-07-05 21:20:59.3N,100.78%,186.6MiB,1GiB,
2025-07-05 21:21:01.3N,100.25%,192.6MiB,1GiB,
2025-07-05 21:21:03.3N,100.06%,189.2MiB,1GiB,
2025-07-05 21:21:05.3N,99.97%,186.5MiB,1GiB,
2025-07-05 21:21:07.3N,100.04%,188.4MiB,1GiB,
2025-07-05 21:21:09.3N,100.15%,188.6MiB,1GiB,
2025-07-05 21:21:11.3N,100.00%,190.4MiB,1GiB,
2025-07-05 21:21:13.3N,100.23%,190.3MiB,1GiB,
2025-07-05 21:21:15.3N,100.40%,190.4MiB,1GiB,
2025-07-05 21:21:17.3N,100.05%,190.3MiB,1GiB,
2025-07-05 21:21:19.3N,100.17%,192.4MiB,1GiB,
2025-07-05 21:21:21.3N,99.98%,191.6MiB,1GiB,
2025-07-05 21:21:23.3N,100.20%,193.5MiB,1GiB,
2025-07-05 21:21:25.3N,99.89%,195.5MiB,1GiB,
2025-07-05 21:21:27.3N,100.09%,191.6MiB,1GiB,
2025-07-05 21:21:29.3N,100.03%,193.6MiB,1GiB,
2025-07-05 21:21:31.3N,99.67%,191.7MiB,1GiB,
2025-07-05 21:21:33.3N,100.29%,193.7MiB,1GiB,
2025-07-05 21:21:35.3N,100.09%,193.8MiB,1GiB,
2025-07-05 21:21:37.3N,100.71%,193.9MiB,1GiB,
2025-07-05 21:21:39.3N,100.36%,193.7MiB,1GiB,
2025-07-05 21:21:41.3N,99.96%,193.7MiB,1GiB,
2025-07-05 21:21:43.3N,99.32%,193.7MiB,1GiB,
2025-07-05 21:21:45.3N,99.87%,192.6MiB,1GiB,
2025-07-05 21:21:47.3N,100.15%,194.7MiB,1GiB,
2025-07-05 21:21:49.3N,100.29%,194.8MiB,1GiB,
