Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-05 22:55:52.3N,101.32%,103.8MiB,1GiB,
2025-07-05 22:55:54.3N,102.91%,140.6MiB,1GiB,
2025-07-05 22:55:56.3N,100.51%,154.3MiB,1GiB,
2025-07-05 22:55:58.3N,102.12%,157.3MiB,1GiB,
2025-07-05 22:56:00.3N,100.76%,165.9MiB,1GiB,
2025-07-05 22:56:02.3N,99.29%,189MiB,1GiB,
2025-07-05 22:56:04.3N,100.15%,185.2MiB,1GiB,
2025-07-05 22:56:06.3N,99.66%,187.2MiB,1GiB,
2025-07-05 22:56:08.3N,99.60%,191.3MiB,1GiB,
2025-07-05 22:56:10.3N,99.82%,185.2MiB,1GiB,
2025-07-05 22:56:12.3N,100.00%,191MiB,1GiB,
2025-07-05 22:56:14.3N,99.96%,194.9MiB,1GiB,
2025-07-05 22:56:16.3N,99.99%,193.8MiB,1GiB,
2025-07-05 22:56:18.3N,100.17%,195.8MiB,1GiB,
2025-07-05 22:56:20.3N,99.96%,193.5MiB,1GiB,
2025-07-05 22:56:22.3N,99.93%,191.2MiB,1GiB,
2025-07-05 22:56:24.3N,100.07%,196MiB,1GiB,
2025-07-05 22:56:26.3N,99.79%,180MiB,1GiB,
2025-07-05 22:56:28.3N,99.54%,181.6MiB,1GiB,
2025-07-05 22:56:30.3N,100.20%,179.5MiB,1GiB,
2025-07-05 22:56:32.3N,99.83%,180.1MiB,1GiB,
2025-07-05 22:56:34.3N,100.24%,179.7MiB,1GiB,
2025-07-05 22:56:36.3N,99.76%,181.4MiB,1GiB,
2025-07-05 22:56:38.3N,99.56%,179.2MiB,1GiB,
2025-07-05 22:56:40.3N,99.63%,180.6MiB,1GiB,
2025-07-05 22:56:42.3N,100.19%,181.5MiB,1GiB,
2025-07-05 22:56:44.3N,99.72%,181.5MiB,1GiB,
2025-07-05 22:56:46.3N,99.61%,183.4MiB,1GiB,
2025-07-05 22:56:48.3N,100.09%,177.3MiB,1GiB,
2025-07-05 22:56:50.3N,99.65%,181.2MiB,1GiB,
2025-07-05 22:56:52.3N,99.90%,181.2MiB,1GiB,
2025-07-05 22:56:54.3N,100.42%,175.3MiB,1GiB,
2025-07-05 22:56:56.3N,100.26%,179.5MiB,1GiB,
2025-07-05 22:56:58.3N,99.89%,179.7MiB,1GiB,
2025-07-05 22:57:00.3N,99.78%,178.8MiB,1GiB,
2025-07-05 22:57:02.3N,100.12%,182.1MiB,1GiB,
2025-07-05 22:57:04.3N,99.72%,185.8MiB,1GiB,
2025-07-05 22:57:06.3N,99.83%,180MiB,1GiB,
2025-07-05 22:57:08.3N,99.73%,180MiB,1GiB,
2025-07-05 22:57:10.3N,100.07%,186.2MiB,1GiB,
2025-07-05 22:57:12.3N,99.68%,180MiB,1GiB,
2025-07-05 22:57:14.3N,99.84%,182MiB,1GiB,
2025-07-05 22:57:16.3N,100.12%,181.8MiB,1GiB,
2025-07-05 22:57:18.3N,99.72%,179.8MiB,1GiB,
2025-07-05 22:57:20.3N,99.92%,182.2MiB,1GiB,
2025-07-05 22:57:22.3N,99.98%,182.7MiB,1GiB,
2025-07-05 22:57:24.3N,99.93%,180.7MiB,1GiB,
2025-07-05 22:57:26.3N,100.17%,183MiB,1GiB,
2025-07-05 22:57:28.3N,100.31%,187.3MiB,1GiB,
2025-07-05 22:57:30.3N,100.71%,181.6MiB,1GiB,
2025-07-05 22:57:32.3N,100.11%,187.6MiB,1GiB,
2025-07-05 22:57:34.3N,100.00%,189.6MiB,1GiB,
2025-07-05 22:57:36.3N,99.65%,191.6MiB,1GiB,
2025-07-05 22:57:38.3N,100.07%,191.7MiB,1GiB,
2025-07-05 22:57:40.3N,100.28%,189.6MiB,1GiB,
2025-07-05 22:57:42.3N,100.05%,195.1MiB,1GiB,
2025-07-05 22:57:44.3N,99.88%,189.4MiB,1GiB,
2025-07-05 22:57:46.3N,100.26%,193.3MiB,1GiB,
2025-07-05 22:57:48.3N,99.90%,191.2MiB,1GiB,
2025-07-05 22:57:50.3N,100.36%,193.2MiB,1GiB,
2025-07-05 22:57:52.3N,99.94%,191.3MiB,1GiB,
2025-07-05 22:57:54.3N,100.12%,193.3MiB,1GiB,
2025-07-05 22:57:56.3N,99.82%,191.3MiB,1GiB,
2025-07-05 22:57:58.3N,99.89%,193.3MiB,1GiB,
2025-07-05 22:58:00.3N,100.59%,191.4MiB,1GiB,
2025-07-05 22:58:02.3N,99.98%,195.9MiB,1GiB,
2025-07-05 22:58:04.3N,99.94%,193.9MiB,1GiB,
2025-07-05 22:58:06.3N,100.18%,193.6MiB,1GiB,
2025-07-05 22:58:08.3N,99.63%,193.7MiB,1GiB,
2025-07-05 22:58:10.3N,99.57%,193.5MiB,1GiB,
2025-07-05 22:58:12.3N,100.04%,193.4MiB,1GiB,
2025-07-05 22:58:14.3N,99.82%,195.6MiB,1GiB,
2025-07-05 22:58:16.3N,99.73%,197.4MiB,1GiB,
2025-07-05 22:58:18.3N,100.36%,197.2MiB,1GiB,
2025-07-05 22:58:20.3N,100.09%,197.4MiB,1GiB,
2025-07-05 22:58:22.3N,99.86%,197.4MiB,1GiB,
2025-07-05 22:58:24.3N,100.31%,201.4MiB,1GiB,
2025-07-05 22:58:26.3N,100.09%,199.2MiB,1GiB,
2025-07-05 22:58:28.3N,100.33%,199.4MiB,1GiB,
2025-07-05 22:58:30.3N,100.28%,197.3MiB,1GiB,
2025-07-05 22:58:32.3N,100.05%,197.3MiB,1GiB,
2025-07-05 22:58:34.3N,99.64%,197.3MiB,1GiB,
2025-07-05 22:58:36.3N,99.83%,199.4MiB,1GiB,
2025-07-05 22:58:38.3N,99.49%,198.2MiB,1GiB,
2025-07-05 22:58:40.3N,99.14%,196.2MiB,1GiB,
2025-07-05 22:58:42.3N,100.10%,198.2MiB,1GiB,
2025-07-05 22:58:44.3N,99.92%,200.3MiB,1GiB,
2025-07-05 22:58:46.3N,99.26%,197.4MiB,1GiB,
2025-07-05 22:58:48.3N,99.85%,199.4MiB,1GiB,
2025-07-05 22:58:50.3N,99.55%,197.5MiB,1GiB,
2025-07-05 22:58:52.3N,100.01%,197.4MiB,1GiB,
2025-07-05 22:58:54.3N,100.37%,199.8MiB,1GiB,
2025-07-05 22:58:56.3N,100.45%,198MiB,1GiB,
2025-07-05 22:58:58.3N,99.13%,203.4MiB,1GiB,
2025-07-05 22:59:00.3N,100.37%,197.6MiB,1GiB,
2025-07-05 22:59:02.3N,99.95%,197.6MiB,1GiB,
2025-07-05 22:59:04.3N,99.82%,198.2MiB,1GiB,
2025-07-05 22:59:06.3N,99.27%,198.4MiB,1GiB,
2025-07-05 22:59:08.3N,99.80%,202.5MiB,1GiB,
2025-07-05 22:59:10.3N,99.78%,202.4MiB,1GiB,
2025-07-05 22:59:12.3N,99.67%,204.4MiB,1GiB,
2025-07-05 22:59:14.3N,99.77%,206.6MiB,1GiB,
2025-07-05 22:59:16.3N,99.75%,204.5MiB,1GiB,
2025-07-05 22:59:18.3N,99.05%,204.6MiB,1GiB,
2025-07-05 22:59:20.3N,99.99%,206.6MiB,1GiB,
2025-07-05 22:59:22.3N,99.91%,211.2MiB,1GiB,
2025-07-05 22:59:24.3N,100.06%,205.1MiB,1GiB,
2025-07-05 22:59:26.3N,99.91%,207.2MiB,1GiB,
2025-07-05 22:59:28.3N,99.95%,207.1MiB,1GiB,
2025-07-05 22:59:30.3N,99.95%,205.2MiB,1GiB,
2025-07-05 22:59:32.3N,100.10%,209.3MiB,1GiB,
2025-07-05 22:59:34.3N,99.69%,205.2MiB,1GiB,
2025-07-05 22:59:36.3N,100.03%,207.2MiB,1GiB,
2025-07-05 22:59:38.3N,99.86%,209.4MiB,1GiB,
2025-07-05 22:59:40.3N,99.83%,209.4MiB,1GiB,
2025-07-05 22:59:42.3N,100.28%,209.3MiB,1GiB,
2025-07-05 22:59:44.3N,100.09%,209.2MiB,1GiB,
2025-07-05 22:59:46.3N,99.67%,211.3MiB,1GiB,
2025-07-05 22:59:48.3N,99.07%,209.3MiB,1GiB,
2025-07-05 22:59:50.3N,99.61%,207.9MiB,1GiB,
2025-07-05 22:59:52.3N,99.42%,205.7MiB,1GiB,
2025-07-05 22:59:54.3N,99.90%,207.8MiB,1GiB,
2025-07-05 22:59:56.3N,99.96%,207.8MiB,1GiB,
2025-07-05 22:59:58.3N,99.48%,209.8MiB,1GiB,
2025-07-05 23:00:00.3N,100.32%,207.9MiB,1GiB,
2025-07-05 23:00:02.3N,99.65%,207.7MiB,1GiB,
2025-07-05 23:00:04.3N,99.75%,210.1MiB,1GiB,
2025-07-05 23:00:06.3N,100.58%,208.2MiB,1GiB,
2025-07-05 23:00:08.3N,99.90%,208.1MiB,1GiB,
2025-07-05 23:00:10.3N,100.00%,209MiB,1GiB,
2025-07-05 23:00:12.3N,99.74%,211MiB,1GiB,
2025-07-05 23:00:14.3N,99.99%,209.1MiB,1GiB,
2025-07-05 23:00:16.3N,99.98%,208.4MiB,1GiB,
2025-07-05 23:00:18.3N,99.66%,206.1MiB,1GiB,
2025-07-05 23:00:20.3N,99.34%,206.5MiB,1GiB,
2025-07-05 23:00:22.3N,99.68%,206.4MiB,1GiB,
2025-07-05 23:00:24.3N,99.57%,208.5MiB,1GiB,
2025-07-05 23:00:26.3N,99.86%,212.4MiB,1GiB,
2025-07-05 23:00:28.3N,98.80%,212.4MiB,1GiB,
2025-07-05 23:00:30.3N,99.37%,212.6MiB,1GiB,
2025-07-05 23:00:32.3N,99.50%,216.2MiB,1GiB,
2025-07-05 23:00:34.3N,99.26%,216.1MiB,1GiB,
2025-07-05 23:00:36.3N,100.11%,216.1MiB,1GiB,
2025-07-05 23:00:38.3N,99.77%,214.3MiB,1GiB,
2025-07-05 23:00:40.3N,98.82%,214.1MiB,1GiB,
2025-07-05 23:00:42.3N,99.80%,214.1MiB,1GiB,
2025-07-05 23:00:44.3N,99.68%,216.2MiB,1GiB,
2025-07-05 23:00:46.3N,99.72%,216.1MiB,1GiB,
2025-07-05 23:00:48.3N,99.05%,216.5MiB,1GiB,
2025-07-05 23:00:50.3N,99.58%,216.5MiB,1GiB,
2025-07-05 23:00:52.3N,99.82%,218.7MiB,1GiB,
2025-07-05 23:00:54.3N,99.71%,214.6MiB,1GiB,
2025-07-05 23:00:56.3N,99.00%,218.5MiB,1GiB,
2025-07-05 23:00:58.3N,99.70%,220.8MiB,1GiB,
2025-07-05 23:01:00.3N,99.75%,218.6MiB,1GiB,
2025-07-05 23:01:02.3N,100.36%,216.5MiB,1GiB,
2025-07-05 23:01:04.3N,100.35%,218.7MiB,1GiB,
2025-07-05 23:01:06.3N,99.34%,218.6MiB,1GiB,
2025-07-05 23:01:08.3N,99.74%,218.7MiB,1GiB,
2025-07-05 23:01:10.3N,99.31%,218.9MiB,1GiB,
2025-07-05 23:01:12.3N,99.48%,218.7MiB,1GiB,
2025-07-05 23:01:14.3N,99.51%,218.6MiB,1GiB,
2025-07-05 23:01:16.3N,99.58%,218.7MiB,1GiB,
2025-07-05 23:01:18.3N,99.79%,220.7MiB,1GiB,
2025-07-05 23:01:20.3N,100.08%,220.5MiB,1GiB,
2025-07-05 23:01:22.3N,99.35%,218.6MiB,1GiB,
2025-07-05 23:01:24.3N,99.84%,220.5MiB,1GiB,
2025-07-05 23:01:27.3N,99.61%,220.8MiB,1GiB,
2025-07-05 23:01:29.3N,99.64%,220.6MiB,1GiB,
2025-07-05 23:01:31.3N,100.03%,222.6MiB,1GiB,
2025-07-05 23:01:33.3N,99.66%,216.5MiB,1GiB,
2025-07-05 23:01:35.3N,99.93%,218.7MiB,1GiB,
2025-07-05 23:01:37.3N,100.05%,222.8MiB,1GiB,
2025-07-05 23:01:39.3N,99.71%,222.8MiB,1GiB,
2025-07-05 23:01:41.3N,100.08%,224.7MiB,1GiB,
2025-07-05 23:01:43.3N,99.90%,222.5MiB,1GiB,
2025-07-05 23:01:45.3N,99.71%,224.8MiB,1GiB,
2025-07-05 23:01:47.3N,100.56%,222.7MiB,1GiB,
2025-07-05 23:01:49.3N,99.81%,219MiB,1GiB,
2025-07-05 23:01:51.3N,99.38%,222.9MiB,1GiB,
2025-07-05 23:01:53.3N,100.42%,220.9MiB,1GiB,
2025-07-05 23:01:55.3N,100.21%,224.6MiB,1GiB,
2025-07-05 23:01:57.3N,100.09%,226.8MiB,1GiB,
2025-07-05 23:01:59.3N,100.02%,226.9MiB,1GiB,
2025-07-05 23:02:01.3N,99.89%,226.7MiB,1GiB,
2025-07-05 23:02:03.3N,100.03%,230.6MiB,1GiB,
2025-07-05 23:02:05.3N,99.97%,228.5MiB,1GiB,
2025-07-05 23:02:07.3N,99.97%,228.9MiB,1GiB,
2025-07-05 23:02:09.3N,100.13%,228.8MiB,1GiB,
2025-07-05 23:02:11.3N,100.20%,230.9MiB,1GiB,
2025-07-05 23:02:13.3N,100.06%,234.9MiB,1GiB,
2025-07-05 23:02:15.3N,99.67%,232.9MiB,1GiB,
2025-07-05 23:02:17.3N,100.18%,230.8MiB,1GiB,
2025-07-05 23:02:19.3N,100.01%,231MiB,1GiB,
2025-07-05 23:02:21.3N,99.30%,235MiB,1GiB,
2025-07-05 23:02:23.3N,99.33%,237MiB,1GiB,
2025-07-05 23:02:25.3N,100.06%,234.9MiB,1GiB,
2025-07-05 23:02:27.3N,100.35%,228.9MiB,1GiB,
2025-07-05 23:02:29.3N,99.91%,231MiB,1GiB,
2025-07-05 23:02:31.3N,99.89%,232.9MiB,1GiB,
2025-07-05 23:02:33.3N,99.64%,234.6MiB,1GiB,
2025-07-05 23:02:35.3N,99.74%,234.9MiB,1GiB,
2025-07-05 23:02:37.3N,99.65%,228.9MiB,1GiB,
2025-07-05 23:02:39.3N,99.93%,232.8MiB,1GiB,
2025-07-05 23:02:41.3N,100.00%,234.5MiB,1GiB,
2025-07-05 23:02:43.3N,99.76%,232.7MiB,1GiB,
2025-07-05 23:02:45.3N,99.54%,234.4MiB,1GiB,
2025-07-05 23:02:47.3N,100.02%,230.3MiB,1GiB,
2025-07-05 23:02:49.3N,99.82%,234.8MiB,1GiB,
2025-07-05 23:02:51.3N,100.39%,236.3MiB,1GiB,
2025-07-05 23:02:53.3N,100.57%,236.3MiB,1GiB,
2025-07-05 23:02:55.3N,100.17%,236.3MiB,1GiB,
2025-07-05 23:02:57.3N,99.36%,234.4MiB,1GiB,
2025-07-05 23:02:59.3N,99.71%,236.4MiB,1GiB,
2025-07-05 23:03:01.3N,100.10%,236.3MiB,1GiB,
2025-07-05 23:03:03.3N,99.38%,236.5MiB,1GiB,
2025-07-05 23:03:05.3N,99.36%,236.3MiB,1GiB,
2025-07-05 23:03:07.3N,100.05%,232.3MiB,1GiB,
2025-07-05 23:03:09.3N,99.67%,234.7MiB,1GiB,
2025-07-05 23:03:11.3N,100.08%,238.5MiB,1GiB,
2025-07-05 23:03:13.3N,100.32%,238.5MiB,1GiB,
2025-07-05 23:03:15.3N,100.13%,238.5MiB,1GiB,
2025-07-05 23:03:17.3N,100.15%,234.4MiB,1GiB,
2025-07-05 23:03:19.3N,99.77%,238.3MiB,1GiB,
2025-07-05 23:03:21.3N,100.26%,238.3MiB,1GiB,
2025-07-05 23:03:23.3N,100.22%,242.4MiB,1GiB,
2025-07-05 23:03:25.3N,100.10%,238.8MiB,1GiB,
2025-07-05 23:03:27.3N,99.21%,236.2MiB,1GiB,
2025-07-05 23:03:29.3N,99.43%,236.1MiB,1GiB,
2025-07-05 23:03:31.3N,99.89%,240MiB,1GiB,
2025-07-05 23:03:33.3N,99.72%,242MiB,1GiB,
2025-07-05 23:03:35.3N,100.03%,239.2MiB,1GiB,
2025-07-05 23:03:37.3N,100.20%,240.2MiB,1GiB,
2025-07-05 23:03:39.3N,99.93%,240.3MiB,1GiB,
2025-07-05 23:03:41.3N,99.65%,242.2MiB,1GiB,
2025-07-05 23:03:43.3N,99.99%,242.3MiB,1GiB,
2025-07-05 23:03:45.3N,100.32%,238.2MiB,1GiB,
2025-07-05 23:03:47.3N,100.05%,242.4MiB,1GiB,
2025-07-05 23:03:49.3N,99.95%,242.7MiB,1GiB,
2025-07-05 23:03:51.3N,100.23%,242MiB,1GiB,
2025-07-05 23:03:53.3N,100.51%,244.8MiB,1GiB,
2025-07-05 23:03:55.3N,100.07%,238.9MiB,1GiB,
2025-07-05 23:03:57.3N,99.74%,241MiB,1GiB,
2025-07-05 23:03:59.3N,99.77%,242.9MiB,1GiB,
2025-07-05 23:04:01.3N,100.17%,244.8MiB,1GiB,
2025-07-05 23:04:03.3N,99.88%,240.4MiB,1GiB,
2025-07-05 23:04:05.3N,100.19%,242.4MiB,1GiB,
2025-07-05 23:04:07.3N,99.94%,244.4MiB,1GiB,
2025-07-05 23:04:09.3N,100.10%,246.6MiB,1GiB,
2025-07-05 23:04:11.3N,99.80%,248.2MiB,1GiB,
2025-07-05 23:04:13.3N,99.99%,250.4MiB,1GiB,
2025-07-05 23:04:15.3N,99.85%,253.7MiB,1GiB,
2025-07-05 23:04:17.3N,100.21%,250.4MiB,1GiB,
2025-07-05 23:04:19.3N,100.25%,250.4MiB,1GiB,
2025-07-05 23:04:21.3N,100.03%,252.5MiB,1GiB,
2025-07-05 23:04:23.3N,99.20%,254.5MiB,1GiB,
2025-07-05 23:04:25.3N,99.89%,258.5MiB,1GiB,
2025-07-05 23:04:27.3N,99.58%,256.3MiB,1GiB,
2025-07-05 23:04:29.3N,99.46%,246.3MiB,1GiB,
2025-07-05 23:04:31.3N,99.90%,250.1MiB,1GiB,
2025-07-05 23:04:33.3N,99.83%,254.4MiB,1GiB,
2025-07-05 23:04:35.3N,100.18%,256.4MiB,1GiB,
2025-07-05 23:04:37.3N,99.79%,258.4MiB,1GiB,
2025-07-05 23:04:39.3N,100.57%,258.8MiB,1GiB,
2025-07-05 23:04:41.3N,100.18%,254.3MiB,1GiB,
2025-07-05 23:04:43.3N,99.87%,254.4MiB,1GiB,
2025-07-05 23:04:45.3N,99.78%,258.6MiB,1GiB,
2025-07-05 23:04:47.3N,99.89%,260.5MiB,1GiB,
2025-07-05 23:04:49.3N,100.06%,262.5MiB,1GiB,
2025-07-05 23:04:51.3N,100.53%,264.2MiB,1GiB,
2025-07-05 23:04:53.3N,99.79%,252.1MiB,1GiB,
2025-07-05 23:04:55.3N,99.91%,256.4MiB,1GiB,
2025-07-05 23:04:57.3N,100.00%,258.2MiB,1GiB,
2025-07-05 23:04:59.3N,100.12%,262.4MiB,1GiB,
2025-07-05 23:05:01.3N,99.95%,262.5MiB,1GiB,
2025-07-05 23:05:03.3N,99.70%,262.8MiB,1GiB,
2025-07-05 23:05:05.3N,100.18%,256.5MiB,1GiB,
2025-07-05 23:05:07.3N,100.25%,260.4MiB,1GiB,
2025-07-05 23:05:09.3N,99.80%,262.4MiB,1GiB,
2025-07-05 23:05:11.3N,100.12%,264.1MiB,1GiB,
2025-07-05 23:05:13.3N,99.82%,266.1MiB,1GiB,
2025-07-05 23:05:15.3N,100.18%,267.1MiB,1GiB,
2025-07-05 23:05:17.3N,99.91%,262.3MiB,1GiB,
2025-07-05 23:05:19.3N,100.04%,264.4MiB,1GiB,
2025-07-05 23:05:21.3N,99.48%,264.1MiB,1GiB,
2025-07-05 23:05:23.3N,99.61%,266.4MiB,1GiB,
2025-07-05 23:05:25.3N,100.10%,270.5MiB,1GiB,
2025-07-05 23:05:27.3N,100.19%,264.4MiB,1GiB,
2025-07-05 23:05:29.3N,99.76%,266.5MiB,1GiB,
2025-07-05 23:05:31.3N,100.10%,266.2MiB,1GiB,
2025-07-05 23:05:33.3N,100.51%,270.2MiB,1GiB,
2025-07-05 23:05:35.3N,99.17%,272.4MiB,1GiB,
2025-07-05 23:05:37.3N,99.44%,274.5MiB,1GiB,
2025-07-05 23:05:39.3N,100.19%,266.5MiB,1GiB,
2025-07-05 23:05:41.3N,99.62%,266.3MiB,1GiB,
2025-07-05 23:05:43.3N,100.10%,266.3MiB,1GiB,
2025-07-05 23:05:45.3N,100.37%,270.2MiB,1GiB,
2025-07-05 23:05:47.3N,99.73%,272.6MiB,1GiB,
2025-07-05 23:05:49.3N,100.10%,266.4MiB,1GiB,
2025-07-05 23:05:51.3N,99.77%,264.2MiB,1GiB,
2025-07-05 23:05:53.3N,100.04%,266.3MiB,1GiB,
