Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 01:25:15.3N,100.75%,137.1MiB,1GiB,
2025-07-06 01:25:17.3N,99.96%,149.7MiB,1GiB,
2025-07-06 01:25:19.3N,99.64%,156.5MiB,1GiB,
2025-07-06 01:25:21.3N,99.82%,166MiB,1GiB,
2025-07-06 01:25:23.3N,100.62%,168MiB,1GiB,
2025-07-06 01:25:25.3N,99.62%,197.7MiB,1GiB,
2025-07-06 01:25:27.3N,99.95%,194.3MiB,1GiB,
2025-07-06 01:25:29.3N,100.16%,198.8MiB,1GiB,
2025-07-06 01:25:31.3N,99.81%,194.4MiB,1GiB,
2025-07-06 01:25:33.3N,99.79%,194.4MiB,1GiB,
2025-07-06 01:25:35.3N,100.34%,192.4MiB,1GiB,
2025-07-06 01:25:37.3N,100.14%,196.1MiB,1GiB,
2025-07-06 01:25:39.3N,100.78%,200.5MiB,1GiB,
2025-07-06 01:25:41.3N,99.29%,199.2MiB,1GiB,
2025-07-06 01:25:43.3N,99.90%,199.1MiB,1GiB,
2025-07-06 01:25:45.3N,100.25%,192.7MiB,1GiB,
2025-07-06 01:25:47.3N,99.87%,202.5MiB,1GiB,
2025-07-06 01:25:49.3N,99.95%,184.7MiB,1GiB,
2025-07-06 01:25:51.3N,99.65%,183MiB,1GiB,
2025-07-06 01:25:53.3N,100.33%,184.8MiB,1GiB,
2025-07-06 01:25:55.3N,100.01%,182.3MiB,1GiB,
2025-07-06 01:25:57.3N,100.07%,185.4MiB,1GiB,
2025-07-06 01:25:59.3N,99.94%,181.1MiB,1GiB,
2025-07-06 01:26:01.3N,100.80%,184.6MiB,1GiB,
2025-07-06 01:26:03.3N,100.21%,181.4MiB,1GiB,
2025-07-06 01:26:05.3N,99.66%,183.9MiB,1GiB,
2025-07-06 01:26:07.3N,100.17%,183.7MiB,1GiB,
2025-07-06 01:26:09.3N,99.64%,185.6MiB,1GiB,
2025-07-06 01:26:11.3N,100.01%,183.5MiB,1GiB,
2025-07-06 01:26:13.3N,99.93%,185.6MiB,1GiB,
2025-07-06 01:26:15.3N,99.99%,183.1MiB,1GiB,
2025-07-06 01:26:17.3N,100.09%,185.7MiB,1GiB,
