Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-05 23:11:53.3N,100.56%,137.4MiB,1GiB,
2025-07-05 23:11:55.3N,101.45%,148.6MiB,1GiB,
2025-07-05 23:11:57.3N,101.40%,152.8MiB,1GiB,
2025-07-05 23:11:59.3N,102.21%,171.1MiB,1GiB,
2025-07-05 23:12:01.3N,100.14%,173.6MiB,1GiB,
2025-07-05 23:12:03.3N,99.17%,197MiB,1GiB,
2025-07-05 23:12:05.3N,99.43%,193MiB,1GiB,
2025-07-05 23:12:07.3N,100.19%,193.4MiB,1GiB,
2025-07-05 23:12:09.3N,99.99%,191.1MiB,1GiB,
2025-07-05 23:12:11.3N,99.62%,195.1MiB,1GiB,
2025-07-05 23:12:13.3N,99.96%,188.6MiB,1GiB,
2025-07-05 23:12:15.3N,99.47%,193.2MiB,1GiB,
2025-07-05 23:12:17.3N,99.54%,200MiB,1GiB,
2025-07-05 23:12:19.3N,99.93%,200MiB,1GiB,
2025-07-05 23:12:21.3N,100.05%,199.7MiB,1GiB,
2025-07-05 23:12:23.3N,100.05%,195.6MiB,1GiB,
2025-07-05 23:12:25.3N,100.08%,181.2MiB,1GiB,
2025-07-05 23:12:27.3N,99.46%,182MiB,1GiB,
2025-07-05 23:12:29.3N,99.34%,177.8MiB,1GiB,
2025-07-05 23:12:31.3N,99.90%,179.3MiB,1GiB,
2025-07-05 23:12:33.3N,99.95%,179.3MiB,1GiB,
2025-07-05 23:12:35.3N,100.07%,182.1MiB,1GiB,
2025-07-05 23:12:38.3N,99.72%,179.6MiB,1GiB,
2025-07-05 23:12:40.3N,99.90%,179.2MiB,1GiB,
2025-07-05 23:12:42.3N,99.99%,180.4MiB,1GiB,
2025-07-05 23:12:44.3N,99.82%,180.7MiB,1GiB,
2025-07-05 23:12:46.3N,99.83%,182.7MiB,1GiB,
2025-07-05 23:12:48.3N,99.96%,178.7MiB,1GiB,
2025-07-05 23:12:50.3N,100.09%,180.3MiB,1GiB,
2025-07-05 23:12:52.3N,100.49%,180.5MiB,1GiB,
2025-07-05 23:12:54.3N,99.49%,178.4MiB,1GiB,
2025-07-05 23:12:56.3N,100.02%,178.8MiB,1GiB,
2025-07-05 23:12:58.3N,100.64%,177MiB,1GiB,
2025-07-05 23:13:00.3N,99.66%,175.9MiB,1GiB,
2025-07-05 23:13:02.3N,99.78%,178.9MiB,1GiB,
2025-07-05 23:13:04.3N,99.32%,182.1MiB,1GiB,
2025-07-05 23:13:06.3N,100.23%,182.2MiB,1GiB,
2025-07-05 23:13:08.3N,99.93%,179.7MiB,1GiB,
2025-07-05 23:13:10.3N,99.73%,183.6MiB,1GiB,
2025-07-05 23:13:12.3N,99.81%,181.8MiB,1GiB,
2025-07-05 23:13:14.3N,99.90%,183.6MiB,1GiB,
2025-07-05 23:13:16.3N,100.21%,183.5MiB,1GiB,
2025-07-05 23:13:18.3N,100.12%,181.2MiB,1GiB,
2025-07-05 23:13:20.3N,99.66%,181.5MiB,1GiB,
2025-07-05 23:13:22.3N,100.14%,183.5MiB,1GiB,
2025-07-05 23:13:24.3N,100.28%,183.7MiB,1GiB,
2025-07-05 23:13:26.3N,100.06%,182.2MiB,1GiB,
2025-07-05 23:13:28.3N,99.39%,182.2MiB,1GiB,
2025-07-05 23:13:30.3N,100.40%,182.4MiB,1GiB,
2025-07-05 23:13:32.3N,100.27%,185.4MiB,1GiB,
2025-07-05 23:13:34.3N,99.90%,183.1MiB,1GiB,
2025-07-05 23:13:36.3N,100.09%,191.2MiB,1GiB,
2025-07-05 23:13:38.3N,99.88%,185.2MiB,1GiB,
2025-07-05 23:13:40.3N,100.03%,189.2MiB,1GiB,
2025-07-05 23:13:42.3N,100.42%,187.3MiB,1GiB,
2025-07-05 23:13:44.3N,99.78%,185.3MiB,1GiB,
2025-07-05 23:13:46.3N,100.81%,189.4MiB,1GiB,
2025-07-05 23:13:48.3N,99.38%,187.3MiB,1GiB,
2025-07-05 23:13:50.3N,100.57%,189.2MiB,1GiB,
2025-07-05 23:13:52.3N,99.88%,187.2MiB,1GiB,
2025-07-05 23:13:54.3N,99.84%,185.3MiB,1GiB,
2025-07-05 23:13:56.3N,100.04%,187.1MiB,1GiB,
2025-07-05 23:13:58.3N,99.58%,189.2MiB,1GiB,
2025-07-05 23:14:00.3N,99.30%,189.6MiB,1GiB,
2025-07-05 23:14:02.3N,100.15%,189.6MiB,1GiB,
2025-07-05 23:14:04.3N,100.07%,189.8MiB,1GiB,
2025-07-05 23:14:06.3N,100.18%,187.4MiB,1GiB,
2025-07-05 23:14:08.3N,99.96%,187.4MiB,1GiB,
2025-07-05 23:14:10.3N,100.02%,196.2MiB,1GiB,
2025-07-05 23:14:12.3N,99.65%,189.2MiB,1GiB,
2025-07-05 23:14:14.3N,100.26%,189.3MiB,1GiB,
2025-07-05 23:14:16.3N,100.52%,191.3MiB,1GiB,
2025-07-05 23:14:18.3N,99.92%,191.3MiB,1GiB,
2025-07-05 23:14:20.3N,99.80%,191.3MiB,1GiB,
2025-07-05 23:14:22.3N,100.18%,190.6MiB,1GiB,
2025-07-05 23:14:24.3N,99.73%,194.7MiB,1GiB,
2025-07-05 23:14:26.3N,100.52%,196.7MiB,1GiB,
2025-07-05 23:14:28.3N,100.10%,192.6MiB,1GiB,
2025-07-05 23:14:30.3N,100.46%,192.5MiB,1GiB,
2025-07-05 23:14:32.3N,99.64%,194.5MiB,1GiB,
2025-07-05 23:14:34.3N,99.92%,194.6MiB,1GiB,
2025-07-05 23:14:36.3N,99.92%,194.8MiB,1GiB,
2025-07-05 23:14:38.3N,100.12%,194.8MiB,1GiB,
2025-07-05 23:14:40.3N,100.14%,192.6MiB,1GiB,
2025-07-05 23:14:42.3N,100.54%,196.7MiB,1GiB,
2025-07-05 23:14:44.3N,100.05%,196.5MiB,1GiB,
2025-07-05 23:14:46.3N,100.22%,196.5MiB,1GiB,
2025-07-05 23:14:48.3N,100.20%,196.6MiB,1GiB,
2025-07-05 23:14:50.3N,100.11%,196.7MiB,1GiB,
2025-07-05 23:14:52.3N,99.56%,196.8MiB,1GiB,
2025-07-05 23:14:54.3N,100.02%,197.2MiB,1GiB,
2025-07-05 23:14:56.3N,99.70%,197.2MiB,1GiB,
2025-07-05 23:14:58.3N,99.95%,196.2MiB,1GiB,
2025-07-05 23:15:00.3N,100.08%,196.8MiB,1GiB,
2025-07-05 23:15:02.3N,99.94%,195MiB,1GiB,
2025-07-05 23:15:04.3N,99.81%,195.5MiB,1GiB,
2025-07-05 23:15:06.3N,100.17%,195.9MiB,1GiB,
2025-07-05 23:15:08.3N,100.29%,205.8MiB,1GiB,
2025-07-05 23:15:10.3N,100.22%,198.8MiB,1GiB,
2025-07-05 23:15:12.3N,99.78%,202MiB,1GiB,
2025-07-05 23:15:14.3N,99.69%,199.6MiB,1GiB,
2025-07-05 23:15:16.3N,99.61%,199.6MiB,1GiB,
2025-07-05 23:15:18.3N,99.91%,199.6MiB,1GiB,
2025-07-05 23:15:20.3N,100.30%,199.6MiB,1GiB,
2025-07-05 23:15:22.3N,100.42%,207.8MiB,1GiB,
2025-07-05 23:15:24.3N,99.87%,203.7MiB,1GiB,
2025-07-05 23:15:26.3N,99.86%,201.7MiB,1GiB,
2025-07-05 23:15:28.3N,100.12%,202.7MiB,1GiB,
2025-07-05 23:15:30.3N,99.05%,202.7MiB,1GiB,
2025-07-05 23:15:32.3N,100.73%,200.5MiB,1GiB,
2025-07-05 23:15:34.3N,100.22%,202.7MiB,1GiB,
2025-07-05 23:15:36.3N,99.44%,201.7MiB,1GiB,
2025-07-05 23:15:38.3N,100.19%,199.5MiB,1GiB,
2025-07-05 23:15:40.3N,100.29%,201.7MiB,1GiB,
2025-07-05 23:15:42.3N,100.14%,201.7MiB,1GiB,
2025-07-05 23:15:44.3N,99.75%,201.6MiB,1GiB,
2025-07-05 23:15:46.3N,100.08%,203.7MiB,1GiB,
