Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-05 23:28:03.3N,101.75%,134.2MiB,1GiB,
2025-07-05 23:28:05.3N,100.82%,146.7MiB,1GiB,
2025-07-05 23:28:07.3N,100.96%,160.5MiB,1GiB,
2025-07-05 23:28:09.3N,100.14%,168.9MiB,1GiB,
2025-07-05 23:28:11.3N,101.02%,177.1MiB,1GiB,
2025-07-05 23:28:13.3N,100.23%,202MiB,1GiB,
2025-07-05 23:28:15.3N,100.10%,197.9MiB,1GiB,
2025-07-05 23:28:17.3N,99.63%,194.2MiB,1GiB,
2025-07-05 23:28:19.3N,99.58%,192.3MiB,1GiB,
2025-07-05 23:28:21.3N,99.97%,196.4MiB,1GiB,
2025-07-05 23:28:23.3N,99.44%,193.6MiB,1GiB,
2025-07-05 23:28:25.3N,100.01%,194MiB,1GiB,
2025-07-05 23:28:27.3N,100.15%,200.8MiB,1GiB,
2025-07-05 23:28:29.3N,99.49%,196.6MiB,1GiB,
2025-07-05 23:28:31.3N,99.68%,198.3MiB,1GiB,
2025-07-05 23:28:33.3N,100.00%,194.3MiB,1GiB,
2025-07-05 23:28:35.3N,100.03%,182.2MiB,1GiB,
2025-07-05 23:28:37.3N,99.69%,184.9MiB,1GiB,
2025-07-05 23:28:39.3N,100.23%,184.4MiB,1GiB,
2025-07-05 23:28:41.3N,99.65%,184.2MiB,1GiB,
2025-07-05 23:28:43.3N,99.72%,182.9MiB,1GiB,
2025-07-05 23:28:45.3N,100.12%,184.6MiB,1GiB,
2025-07-05 23:28:47.3N,99.26%,182.4MiB,1GiB,
2025-07-05 23:28:49.3N,99.82%,184.4MiB,1GiB,
2025-07-05 23:28:51.3N,100.00%,182MiB,1GiB,
2025-07-05 23:28:53.3N,99.70%,183.7MiB,1GiB,
2025-07-05 23:28:55.3N,100.09%,189.3MiB,1GiB,
2025-07-05 23:28:57.3N,99.51%,182.1MiB,1GiB,
2025-07-05 23:28:59.3N,99.31%,184.1MiB,1GiB,
2025-07-05 23:29:01.3N,100.00%,184.2MiB,1GiB,
2025-07-05 23:29:03.3N,99.51%,184.4MiB,1GiB,
2025-07-05 23:29:05.3N,99.96%,182.7MiB,1GiB,
2025-07-05 23:29:07.3N,100.13%,182.9MiB,1GiB,
2025-07-05 23:29:09.3N,99.89%,182.8MiB,1GiB,
2025-07-05 23:29:11.3N,99.76%,182.1MiB,1GiB,
2025-07-05 23:29:13.3N,100.19%,186.8MiB,1GiB,
2025-07-05 23:29:15.3N,101.02%,188.6MiB,1GiB,
2025-07-05 23:29:17.3N,100.16%,186.2MiB,1GiB,
2025-07-05 23:29:19.3N,100.02%,186.2MiB,1GiB,
2025-07-05 23:29:21.3N,99.96%,192MiB,1GiB,
2025-07-05 23:29:23.3N,100.18%,184.8MiB,1GiB,
2025-07-05 23:29:25.3N,100.30%,186.8MiB,1GiB,
2025-07-05 23:29:27.3N,99.89%,184.7MiB,1GiB,
2025-07-05 23:29:29.3N,100.64%,184.7MiB,1GiB,
2025-07-05 23:29:31.3N,99.92%,186.9MiB,1GiB,
2025-07-05 23:29:33.3N,100.20%,187.1MiB,1GiB,
2025-07-05 23:29:35.3N,100.08%,185.1MiB,1GiB,
2025-07-05 23:29:37.3N,100.18%,185.3MiB,1GiB,
2025-07-05 23:29:39.3N,99.50%,184.9MiB,1GiB,
2025-07-05 23:29:41.3N,100.00%,184.5MiB,1GiB,
2025-07-05 23:29:43.3N,99.62%,188.5MiB,1GiB,
2025-07-05 23:29:45.3N,100.24%,190.7MiB,1GiB,
2025-07-05 23:29:47.3N,99.27%,192.5MiB,1GiB,
2025-07-05 23:29:49.3N,100.28%,188.5MiB,1GiB,
2025-07-05 23:29:51.3N,99.63%,188.6MiB,1GiB,
2025-07-05 23:29:53.3N,99.34%,190.6MiB,1GiB,
2025-07-05 23:29:55.3N,100.18%,188.6MiB,1GiB,
2025-07-05 23:29:57.3N,99.86%,190.6MiB,1GiB,
2025-07-05 23:29:59.3N,100.37%,192.6MiB,1GiB,
2025-07-05 23:30:01.3N,99.60%,190.5MiB,1GiB,
2025-07-05 23:30:03.3N,100.03%,192.6MiB,1GiB,
2025-07-05 23:30:05.3N,100.18%,190.4MiB,1GiB,
2025-07-05 23:30:07.3N,99.70%,194.6MiB,1GiB,
2025-07-05 23:30:09.3N,99.78%,192.4MiB,1GiB,
2025-07-05 23:30:11.3N,99.98%,192.6MiB,1GiB,
2025-07-05 23:30:13.3N,100.33%,193MiB,1GiB,
2025-07-05 23:30:15.3N,100.07%,193.2MiB,1GiB,
2025-07-05 23:30:17.3N,100.15%,192.7MiB,1GiB,
2025-07-05 23:30:19.3N,100.15%,191MiB,1GiB,
2025-07-05 23:30:21.3N,100.07%,192.7MiB,1GiB,
2025-07-05 23:30:23.3N,100.24%,194.6MiB,1GiB,
2025-07-05 23:30:25.3N,100.06%,196.6MiB,1GiB,
2025-07-05 23:30:27.3N,100.27%,194.5MiB,1GiB,
2025-07-05 23:30:29.3N,99.98%,196.6MiB,1GiB,
2025-07-05 23:30:31.3N,100.07%,194.8MiB,1GiB,
2025-07-05 23:30:33.3N,99.87%,194.5MiB,1GiB,
2025-07-05 23:30:35.3N,100.30%,198.3MiB,1GiB,
2025-07-05 23:30:37.3N,100.17%,198.2MiB,1GiB,
2025-07-05 23:30:39.3N,99.91%,196.6MiB,1GiB,
2025-07-05 23:30:41.3N,100.23%,196.1MiB,1GiB,
2025-07-05 23:30:43.3N,100.24%,195.6MiB,1GiB,
2025-07-05 23:30:45.3N,100.10%,195.8MiB,1GiB,
2025-07-05 23:30:47.3N,100.40%,197.8MiB,1GiB,
2025-07-05 23:30:49.3N,99.87%,193.7MiB,1GiB,
2025-07-05 23:30:51.3N,100.32%,197.9MiB,1GiB,
2025-07-05 23:30:53.3N,99.44%,197.6MiB,1GiB,
2025-07-05 23:30:55.3N,99.95%,197.8MiB,1GiB,
2025-07-05 23:30:57.3N,99.84%,199.9MiB,1GiB,
2025-07-05 23:30:59.3N,100.09%,197.9MiB,1GiB,
2025-07-05 23:31:01.3N,99.91%,199.6MiB,1GiB,
2025-07-05 23:31:03.3N,100.02%,199.7MiB,1GiB,
2025-07-05 23:31:05.3N,100.32%,198.4MiB,1GiB,
2025-07-05 23:31:07.3N,99.78%,198.4MiB,1GiB,
2025-07-05 23:31:09.3N,99.90%,198.9MiB,1GiB,
2025-07-05 23:31:11.3N,99.83%,201.1MiB,1GiB,
2025-07-05 23:31:13.3N,99.60%,195.6MiB,1GiB,
2025-07-05 23:31:15.3N,99.66%,201.9MiB,1GiB,
2025-07-05 23:31:17.3N,100.13%,199.9MiB,1GiB,
2025-07-05 23:31:19.3N,99.41%,202.1MiB,1GiB,
2025-07-05 23:31:21.3N,100.04%,203.8MiB,1GiB,
2025-07-05 23:31:23.3N,99.92%,210.1MiB,1GiB,
2025-07-05 23:31:25.3N,100.10%,205.9MiB,1GiB,
2025-07-05 23:31:27.3N,99.74%,207.3MiB,1GiB,
2025-07-05 23:31:29.3N,99.77%,205.3MiB,1GiB,
2025-07-05 23:31:31.3N,99.83%,205.5MiB,1GiB,
2025-07-05 23:31:33.3N,99.98%,207.3MiB,1GiB,
2025-07-05 23:31:35.3N,100.23%,208.4MiB,1GiB,
2025-07-05 23:31:37.3N,100.02%,204.4MiB,1GiB,
2025-07-05 23:31:39.3N,100.44%,205.7MiB,1GiB,
2025-07-05 23:31:41.3N,99.96%,203.7MiB,1GiB,
2025-07-05 23:31:43.3N,99.90%,203.6MiB,1GiB,
2025-07-05 23:31:45.3N,99.75%,203.6MiB,1GiB,
2025-07-05 23:31:47.3N,99.99%,205.4MiB,1GiB,
2025-07-05 23:31:49.3N,100.20%,204.4MiB,1GiB,
2025-07-05 23:31:51.3N,100.48%,204.6MiB,1GiB,
2025-07-05 23:31:53.3N,100.14%,208.8MiB,1GiB,
2025-07-05 23:31:55.3N,100.12%,205.8MiB,1GiB,
2025-07-05 23:31:57.3N,100.08%,207.6MiB,1GiB,
2025-07-05 23:31:59.3N,100.08%,213.5MiB,1GiB,
2025-07-05 23:32:01.3N,99.76%,205.2MiB,1GiB,
2025-07-05 23:32:03.3N,99.93%,205.4MiB,1GiB,
2025-07-05 23:32:05.3N,100.19%,207.5MiB,1GiB,
2025-07-05 23:32:07.3N,99.97%,207.6MiB,1GiB,
2025-07-05 23:32:09.3N,100.20%,207.6MiB,1GiB,
2025-07-05 23:32:11.3N,99.99%,207.8MiB,1GiB,
2025-07-05 23:32:13.3N,99.63%,211.6MiB,1GiB,
2025-07-05 23:32:15.3N,99.56%,209.8MiB,1GiB,
2025-07-05 23:32:17.3N,99.92%,209.8MiB,1GiB,
2025-07-05 23:32:19.3N,99.52%,209.8MiB,1GiB,
2025-07-05 23:32:21.3N,100.08%,208.6MiB,1GiB,
2025-07-05 23:32:23.3N,99.59%,210.5MiB,1GiB,
2025-07-05 23:32:25.3N,99.48%,208.6MiB,1GiB,
2025-07-05 23:32:28.3N,99.64%,242.6MiB,1GiB,
2025-07-05 23:32:30.3N,100.23%,203.9MiB,1GiB,
2025-07-05 23:32:32.3N,99.96%,203.8MiB,1GiB,
2025-07-05 23:32:34.3N,99.61%,205.7MiB,1GiB,
2025-07-05 23:32:36.3N,100.07%,208.6MiB,1GiB,
2025-07-05 23:32:38.3N,99.56%,207.8MiB,1GiB,
2025-07-05 23:32:40.3N,99.78%,209.7MiB,1GiB,
2025-07-05 23:32:42.3N,99.68%,211.5MiB,1GiB,
2025-07-05 23:32:44.3N,99.91%,209.6MiB,1GiB,
2025-07-05 23:32:46.3N,99.93%,217.5MiB,1GiB,
2025-07-05 23:32:48.3N,99.98%,211.6MiB,1GiB,
2025-07-05 23:32:50.3N,100.07%,211.6MiB,1GiB,
2025-07-05 23:32:52.3N,99.69%,213.8MiB,1GiB,
2025-07-05 23:32:54.3N,99.80%,211.6MiB,1GiB,
2025-07-05 23:32:56.3N,99.66%,211.5MiB,1GiB,
2025-07-05 23:32:58.3N,99.79%,213.5MiB,1GiB,
2025-07-05 23:33:00.3N,99.63%,211.6MiB,1GiB,
2025-07-05 23:33:02.3N,100.01%,211.5MiB,1GiB,
2025-07-05 23:33:04.3N,100.17%,215.5MiB,1GiB,
2025-07-05 23:33:06.3N,99.82%,213.5MiB,1GiB,
2025-07-05 23:33:08.3N,100.05%,215.5MiB,1GiB,
2025-07-05 23:33:10.3N,100.05%,213.5MiB,1GiB,
2025-07-05 23:33:12.3N,100.03%,215.8MiB,1GiB,
2025-07-05 23:33:14.3N,99.98%,215.5MiB,1GiB,
2025-07-05 23:33:16.3N,99.79%,215.5MiB,1GiB,
2025-07-05 23:33:18.3N,99.91%,217.7MiB,1GiB,
2025-07-05 23:33:20.3N,99.93%,213.5MiB,1GiB,
2025-07-05 23:33:22.3N,99.51%,217.8MiB,1GiB,
2025-07-05 23:33:24.3N,100.03%,213.5MiB,1GiB,
2025-07-05 23:33:26.3N,99.58%,213.6MiB,1GiB,
2025-07-05 23:33:28.3N,99.85%,215.8MiB,1GiB,
2025-07-05 23:33:30.3N,99.96%,215.9MiB,1GiB,
2025-07-05 23:33:32.3N,100.09%,218.1MiB,1GiB,
2025-07-05 23:33:34.3N,99.59%,220.4MiB,1GiB,
2025-07-05 23:33:36.3N,100.10%,216.7MiB,1GiB,
2025-07-05 23:33:38.3N,99.84%,224.7MiB,1GiB,
2025-07-05 23:33:40.3N,100.01%,218.4MiB,1GiB,
2025-07-05 23:33:42.3N,100.05%,220.4MiB,1GiB,
2025-07-05 23:33:44.3N,100.14%,222.4MiB,1GiB,
2025-07-05 23:33:46.3N,99.82%,224.7MiB,1GiB,
2025-07-05 23:33:48.3N,99.96%,224.5MiB,1GiB,
2025-07-05 23:33:50.3N,99.61%,222.6MiB,1GiB,
2025-07-05 23:33:52.3N,100.54%,224.4MiB,1GiB,
2025-07-05 23:33:54.3N,99.90%,222.7MiB,1GiB,
2025-07-05 23:33:56.3N,100.19%,218.8MiB,1GiB,
2025-07-05 23:33:58.3N,99.93%,222.7MiB,1GiB,
2025-07-05 23:34:00.3N,99.89%,221MiB,1GiB,
2025-07-05 23:34:02.3N,100.26%,222.4MiB,1GiB,
2025-07-05 23:34:04.3N,99.68%,222.4MiB,1GiB,
2025-07-05 23:34:06.3N,100.19%,222.7MiB,1GiB,
2025-07-05 23:34:08.3N,100.42%,222.5MiB,1GiB,
2025-07-05 23:34:10.3N,100.26%,224.5MiB,1GiB,
2025-07-05 23:34:12.3N,100.23%,218.6MiB,1GiB,
2025-07-05 23:34:14.3N,100.13%,221MiB,1GiB,
2025-07-05 23:34:16.3N,100.03%,220.7MiB,1GiB,
2025-07-05 23:34:18.3N,99.87%,220.3MiB,1GiB,
2025-07-05 23:34:20.3N,100.09%,226.7MiB,1GiB,
2025-07-05 23:34:22.3N,100.39%,226.4MiB,1GiB,
2025-07-05 23:34:24.3N,100.25%,226.6MiB,1GiB,
2025-07-05 23:34:26.3N,100.22%,228.7MiB,1GiB,
2025-07-05 23:34:28.3N,99.82%,228.4MiB,1GiB,
2025-07-05 23:34:30.3N,100.13%,237MiB,1GiB,
2025-07-05 23:34:32.3N,99.82%,228.4MiB,1GiB,
2025-07-05 23:34:34.3N,100.10%,230.6MiB,1GiB,
2025-07-05 23:34:36.3N,99.70%,232.8MiB,1GiB,
2025-07-05 23:34:38.3N,99.67%,234.8MiB,1GiB,
2025-07-05 23:34:40.3N,100.15%,234.7MiB,1GiB,
2025-07-05 23:34:42.3N,100.45%,230.7MiB,1GiB,
2025-07-05 23:34:44.3N,100.14%,230.5MiB,1GiB,
2025-07-05 23:34:46.3N,100.28%,232.5MiB,1GiB,
2025-07-05 23:34:48.3N,99.89%,234.7MiB,1GiB,
2025-07-05 23:34:50.3N,99.41%,234.7MiB,1GiB,
2025-07-05 23:34:52.3N,100.40%,232.7MiB,1GiB,
2025-07-05 23:34:54.3N,100.01%,232.8MiB,1GiB,
2025-07-05 23:34:56.3N,99.90%,232.6MiB,1GiB,
2025-07-05 23:34:58.3N,99.97%,234.9MiB,1GiB,
2025-07-05 23:35:00.3N,100.28%,236.7MiB,1GiB,
2025-07-05 23:35:02.3N,100.71%,238.7MiB,1GiB,
2025-07-05 23:35:04.3N,100.19%,230.5MiB,1GiB,
2025-07-05 23:35:06.3N,100.12%,234.8MiB,1GiB,
2025-07-05 23:35:08.3N,100.41%,236.7MiB,1GiB,
2025-07-05 23:35:10.3N,100.09%,239MiB,1GiB,
2025-07-05 23:35:12.3N,100.20%,239.4MiB,1GiB,
2025-07-05 23:35:14.3N,99.80%,234.6MiB,1GiB,
2025-07-05 23:35:16.3N,100.45%,236.7MiB,1GiB,
2025-07-05 23:35:18.3N,100.14%,238.7MiB,1GiB,
2025-07-05 23:35:20.3N,99.58%,238.7MiB,1GiB,
2025-07-05 23:35:22.3N,100.01%,238.8MiB,1GiB,
2025-07-05 23:35:24.3N,99.93%,234.6MiB,1GiB,
2025-07-05 23:35:26.3N,99.37%,238.6MiB,1GiB,
2025-07-05 23:35:28.3N,100.01%,240.6MiB,1GiB,
2025-07-05 23:35:30.3N,99.79%,240.5MiB,1GiB,
2025-07-05 23:35:32.3N,99.59%,242.9MiB,1GiB,
2025-07-05 23:35:34.3N,99.38%,236.6MiB,1GiB,
2025-07-05 23:35:36.3N,99.40%,238.3MiB,1GiB,
2025-07-05 23:35:38.3N,99.81%,240.6MiB,1GiB,
2025-07-05 23:35:40.3N,99.78%,242.6MiB,1GiB,
2025-07-05 23:35:42.3N,99.96%,240.5MiB,1GiB,
2025-07-05 23:35:44.3N,99.59%,238.2MiB,1GiB,
2025-07-05 23:35:46.3N,100.00%,240.5MiB,1GiB,
2025-07-05 23:35:48.3N,100.14%,240.4MiB,1GiB,
2025-07-05 23:35:50.3N,99.97%,244.2MiB,1GiB,
2025-07-05 23:35:52.3N,100.30%,244.5MiB,1GiB,
2025-07-05 23:35:54.3N,100.36%,238MiB,1GiB,
2025-07-05 23:35:56.3N,99.53%,238MiB,1GiB,
2025-07-05 23:35:58.3N,99.49%,240.2MiB,1GiB,
2025-07-05 23:36:00.3N,100.18%,241.9MiB,1GiB,
2025-07-05 23:36:02.3N,99.96%,244.5MiB,1GiB,
2025-07-05 23:36:04.3N,99.98%,238MiB,1GiB,
2025-07-05 23:36:06.3N,100.27%,242.2MiB,1GiB,
2025-07-05 23:36:08.3N,100.11%,244MiB,1GiB,
2025-07-05 23:36:10.3N,99.83%,244.3MiB,1GiB,
2025-07-05 23:36:12.3N,99.96%,245MiB,1GiB,
2025-07-05 23:36:14.3N,100.09%,240MiB,1GiB,
