Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 00:03:06.3N,101.24%,135.6MiB,1GiB,
2025-07-06 00:03:07.3N,101.17%,146.8MiB,1GiB,
2025-07-06 00:03:09.3N,101.43%,159.9MiB,1GiB,
2025-07-06 00:03:11.3N,101.02%,174.2MiB,1GiB,
2025-07-06 00:03:13.3N,101.62%,183.7MiB,1GiB,
2025-07-06 00:03:15.3N,100.34%,203.3MiB,1GiB,
2025-07-06 00:03:17.3N,100.09%,188.2MiB,1GiB,
2025-07-06 00:03:19.3N,99.35%,192MiB,1GiB,
2025-07-06 00:03:21.3N,99.81%,192.9MiB,1GiB,
2025-07-06 00:03:23.3N,99.91%,190.9MiB,1GiB,
2025-07-06 00:03:25.3N,99.77%,187.4MiB,1GiB,
2025-07-06 00:03:27.3N,99.74%,187.2MiB,1GiB,
2025-07-06 00:03:29.3N,100.04%,189.2MiB,1GiB,
2025-07-06 00:03:31.3N,99.94%,188.3MiB,1GiB,
2025-07-06 00:03:33.3N,100.09%,186.7MiB,1GiB,
2025-07-06 00:03:35.3N,100.08%,192MiB,1GiB,
2025-07-06 00:03:37.3N,99.89%,191.8MiB,1GiB,
2025-07-06 00:03:39.3N,100.01%,181.9MiB,1GiB,
2025-07-06 00:03:41.3N,99.73%,178.7MiB,1GiB,
2025-07-06 00:03:43.3N,99.76%,174.4MiB,1GiB,
2025-07-06 00:03:45.3N,99.49%,178.2MiB,1GiB,
2025-07-06 00:03:47.3N,99.61%,176.2MiB,1GiB,
2025-07-06 00:03:49.3N,99.72%,178.4MiB,1GiB,
2025-07-06 00:03:51.3N,99.87%,178.4MiB,1GiB,
2025-07-06 00:03:53.3N,100.15%,182.1MiB,1GiB,
2025-07-06 00:03:55.3N,100.05%,176.1MiB,1GiB,
2025-07-06 00:03:57.3N,99.45%,178.1MiB,1GiB,
2025-07-06 00:04:00.3N,100.50%,178MiB,1GiB,
2025-07-06 00:04:02.3N,100.17%,177.9MiB,1GiB,
2025-07-06 00:04:04.3N,99.46%,175.7MiB,1GiB,
2025-07-06 00:04:06.3N,99.96%,179.3MiB,1GiB,
2025-07-06 00:04:08.3N,100.01%,175.3MiB,1GiB,
2025-07-06 00:04:10.3N,100.33%,173.2MiB,1GiB,
2025-07-06 00:04:12.3N,100.11%,179.5MiB,1GiB,
2025-07-06 00:04:14.3N,100.08%,175.2MiB,1GiB,
2025-07-06 00:04:16.3N,100.37%,179MiB,1GiB,
2025-07-06 00:04:18.3N,99.80%,175.1MiB,1GiB,
2025-07-06 00:04:20.3N,100.17%,179.5MiB,1GiB,
2025-07-06 00:04:22.3N,100.13%,177.8MiB,1GiB,
2025-07-06 00:04:24.3N,100.06%,178.1MiB,1GiB,
2025-07-06 00:04:26.3N,99.70%,175.4MiB,1GiB,
2025-07-06 00:04:28.3N,100.04%,188.2MiB,1GiB,
2025-07-06 00:04:30.3N,99.96%,181.1MiB,1GiB,
2025-07-06 00:04:32.3N,99.50%,181.2MiB,1GiB,
2025-07-06 00:04:34.3N,99.78%,181.1MiB,1GiB,
2025-07-06 00:04:36.3N,100.10%,182.8MiB,1GiB,
2025-07-06 00:04:38.3N,99.95%,180.5MiB,1GiB,
2025-07-06 00:04:40.3N,100.66%,178.8MiB,1GiB,
2025-07-06 00:04:42.3N,99.90%,180.8MiB,1GiB,
2025-07-06 00:04:44.3N,100.11%,180.6MiB,1GiB,
2025-07-06 00:04:46.3N,100.05%,180.5MiB,1GiB,
2025-07-06 00:04:48.3N,100.09%,180.5MiB,1GiB,
2025-07-06 00:04:50.3N,99.99%,182.9MiB,1GiB,
2025-07-06 00:04:52.3N,100.07%,181.4MiB,1GiB,
2025-07-06 00:04:54.3N,99.90%,180MiB,1GiB,
2025-07-06 00:04:56.3N,100.15%,181.8MiB,1GiB,
2025-07-06 00:04:58.3N,99.90%,184.5MiB,1GiB,
2025-07-06 00:05:00.3N,99.82%,182.5MiB,1GiB,
2025-07-06 00:05:02.3N,100.03%,182.9MiB,1GiB,
2025-07-06 00:05:04.3N,100.16%,184.8MiB,1GiB,
2025-07-06 00:05:06.3N,100.11%,186.7MiB,1GiB,
2025-07-06 00:05:08.3N,99.73%,186.7MiB,1GiB,
2025-07-06 00:05:10.3N,99.86%,184.5MiB,1GiB,
2025-07-06 00:05:12.3N,100.29%,184.5MiB,1GiB,
2025-07-06 00:05:14.3N,100.25%,184.5MiB,1GiB,
2025-07-06 00:05:16.3N,99.85%,186.7MiB,1GiB,
2025-07-06 00:05:18.3N,100.08%,192.3MiB,1GiB,
2025-07-06 00:05:20.3N,100.10%,190.2MiB,1GiB,
2025-07-06 00:05:22.3N,99.89%,188.5MiB,1GiB,
2025-07-06 00:05:24.3N,100.37%,186.7MiB,1GiB,
2025-07-06 00:05:26.3N,99.90%,188.5MiB,1GiB,
2025-07-06 00:05:28.3N,99.89%,190.6MiB,1GiB,
2025-07-06 00:05:30.3N,99.73%,190.7MiB,1GiB,
2025-07-06 00:05:32.3N,100.11%,186.8MiB,1GiB,
2025-07-06 00:05:34.3N,99.75%,190.8MiB,1GiB,
2025-07-06 00:05:36.3N,99.91%,190.6MiB,1GiB,
2025-07-06 00:05:38.3N,99.48%,190.7MiB,1GiB,
2025-07-06 00:05:40.3N,99.51%,192.7MiB,1GiB,
2025-07-06 00:05:42.3N,99.85%,188.7MiB,1GiB,
2025-07-06 00:05:44.3N,99.65%,188MiB,1GiB,
2025-07-06 00:05:46.3N,99.93%,188MiB,1GiB,
2025-07-06 00:05:48.3N,99.93%,188.1MiB,1GiB,
2025-07-06 00:05:50.3N,100.14%,194MiB,1GiB,
2025-07-06 00:05:52.3N,100.40%,194.1MiB,1GiB,
2025-07-06 00:05:54.3N,100.31%,196.1MiB,1GiB,
2025-07-06 00:05:56.3N,100.03%,193.7MiB,1GiB,
2025-07-06 00:05:58.3N,99.65%,197.6MiB,1GiB,
2025-07-06 00:06:00.3N,100.41%,195.4MiB,1GiB,
2025-07-06 00:06:02.3N,100.12%,195.5MiB,1GiB,
2025-07-06 00:06:04.3N,99.96%,195.3MiB,1GiB,
2025-07-06 00:06:06.3N,100.32%,195.4MiB,1GiB,
2025-07-06 00:06:08.3N,99.69%,197.5MiB,1GiB,
2025-07-06 00:06:10.3N,99.97%,195.4MiB,1GiB,
2025-07-06 00:06:12.3N,100.21%,196.7MiB,1GiB,
2025-07-06 00:06:14.3N,99.98%,198.7MiB,1GiB,
2025-07-06 00:06:16.3N,100.10%,196.9MiB,1GiB,
2025-07-06 00:06:18.3N,100.17%,196.7MiB,1GiB,
2025-07-06 00:06:20.3N,99.96%,198.7MiB,1GiB,
2025-07-06 00:06:22.3N,100.29%,195.9MiB,1GiB,
2025-07-06 00:06:24.3N,99.34%,195.8MiB,1GiB,
2025-07-06 00:06:26.3N,99.74%,197.9MiB,1GiB,
2025-07-06 00:06:28.3N,99.87%,197.9MiB,1GiB,
2025-07-06 00:06:30.3N,99.95%,195.8MiB,1GiB,
2025-07-06 00:06:32.3N,100.05%,197.7MiB,1GiB,
2025-07-06 00:06:34.3N,100.05%,198.9MiB,1GiB,
2025-07-06 00:06:36.3N,100.02%,199.9MiB,1GiB,
2025-07-06 00:06:38.3N,100.10%,197.8MiB,1GiB,
2025-07-06 00:06:40.3N,100.07%,197.3MiB,1GiB,
2025-07-06 00:06:42.3N,99.96%,196.8MiB,1GiB,
2025-07-06 00:06:44.3N,100.37%,196.5MiB,1GiB,
2025-07-06 00:06:46.3N,100.17%,196.1MiB,1GiB,
2025-07-06 00:06:48.3N,99.98%,196.4MiB,1GiB,
2025-07-06 00:06:50.3N,99.60%,194.4MiB,1GiB,
2025-07-06 00:06:52.3N,100.38%,194.4MiB,1GiB,
2025-07-06 00:06:54.3N,99.93%,189.7MiB,1GiB,
2025-07-06 00:06:56.3N,99.84%,193.9MiB,1GiB,
2025-07-06 00:06:58.3N,100.06%,194.5MiB,1GiB,
2025-07-06 00:07:00.3N,99.89%,193.9MiB,1GiB,
2025-07-06 00:07:02.3N,100.08%,195.7MiB,1GiB,
2025-07-06 00:07:04.3N,100.19%,200MiB,1GiB,
2025-07-06 00:07:06.3N,99.74%,203.9MiB,1GiB,
2025-07-06 00:07:08.3N,99.98%,199.8MiB,1GiB,
2025-07-06 00:07:10.3N,100.29%,201.2MiB,1GiB,
2025-07-06 00:07:12.3N,100.05%,201.4MiB,1GiB,
2025-07-06 00:07:14.3N,100.54%,203.1MiB,1GiB,
2025-07-06 00:07:16.3N,100.54%,203.4MiB,1GiB,
2025-07-06 00:07:18.3N,99.85%,205.1MiB,1GiB,
2025-07-06 00:07:20.3N,100.08%,205.4MiB,1GiB,
2025-07-06 00:07:22.3N,100.07%,205.3MiB,1GiB,
2025-07-06 00:07:24.3N,100.25%,207.1MiB,1GiB,
2025-07-06 00:07:26.3N,100.45%,207.2MiB,1GiB,
2025-07-06 00:07:28.3N,99.56%,207.2MiB,1GiB,
2025-07-06 00:07:30.3N,100.10%,205.1MiB,1GiB,
2025-07-06 00:07:32.3N,99.98%,202.9MiB,1GiB,
2025-07-06 00:07:34.3N,99.71%,204.5MiB,1GiB,
2025-07-06 00:07:36.3N,99.62%,206.7MiB,1GiB,
2025-07-06 00:07:38.3N,100.26%,204.7MiB,1GiB,
2025-07-06 00:07:40.3N,99.86%,205MiB,1GiB,
2025-07-06 00:07:42.3N,100.00%,204.9MiB,1GiB,
2025-07-06 00:07:44.3N,100.32%,205.1MiB,1GiB,
